Rank,Bot,ELO,Wins,Losses,Draws,Win %,Tournament
84,Negamax2 P6,1169.5,0,2,0,0.00%,Single_knockout
85,Negamax3 P2,1169.5,0,2,0,0.00%,Single_knockout
86,Negamax3 P4,1169.5,0,2,0,0.00%,Single_knockout
87,Negamax4 P1,1169.5,0,2,0,0.00%,Single_knockout
88,Negamax4 P2,1169.5,0,2,0,0.00%,Single_knockout
89,Negamax4 P6,1169.5,0,2,0,0.00%,Single_knockout
90,Negamax4 P10,1169.5,0,2,0,0.00%,Single_knockout
91,Negamax4 P4 T0.25,1169.5,0,2,0,0.00%,Single_knockout
92,Negamax4 P6 T0.25,1169.5,0,2,0,0.00%,Single_knockout
93,Negamax4 P8 T0.01,1169.5,0,2,0,0.00%,Single_knockout
94,Negamax5 P1,1169.5,0,2,0,0.00%,Single_knockout
95,Negamax5 P2,1169.5,0,2,0,0.00%,Single_knockout
96,Negamax5 P6 T0.01,1169.5,0,2,0,0.00%,Single_knockout
97,Negamax5B P1,1169.5,0,2,0,0.00%,Single_knockout
98,Random Bot,1169.5,0,2,0,0.00%,Single_knockout
99,Neural Bot winner.pkl,1169.5,0,2,0,0.00%,Single_knockout
100,Neural Bot winner_gen700.pkl,1169.5,0,2,0,0.00%,Single_knockout
101,Neural Bot winner_gen200.pkl,1169.5,0,2,0,0.00%,Single_knockout
102,Neural Bot winner_gen1000.pkl,1169.5,0,2,0,0.00%,Single_knockout
103,Neural Bot winner_1gen1500.pkl,1169.5,0,2,0,0.00%,Single_knockout
104,Neural Bot winner_gen100.pkl,1169.5,0,2,0,0.00%,Single_knockout
105,Neural Bot winner_1gen400.pkl,1169.5,0,2,0,0.00%,Single_knockout
106,Neural Bot genomes/winner3_gen1000.pkl,1169.5,0,2,0,0.00%,Single_knockout
107,Neural Bot genomes/winner4_gen300.pkl,1169.5,0,2,0,0.00%,Single_knockout
108,Neural Bot genomes/winner5_gen300.pkl,1169.5,0,2,0,0.00%,Single_knockout
109,Neural Bot genomes/winner.pkl,1169.5,0,2,0,0.00%,Single_knockout
110,Neural Bot genomes/winner7_gen900.pkl,1169.5,0,2,0,0.00%,Single_knockout
111,Neural Bot genomes/winne7.pkl,1169.5,0,2,0,0.00%,Single_knockout
112,Neural Bot genomes/winner8_gen300.pkl,1169.5,0,2,0,0.00%,Single_knockout
113,Neural Bot genomes/winner8.pkl,1169.5,0,2,0,0.00%,Single_knockout
114,Neural Bot genomes/winner9_gen800.pkl,1169.5,0,2,0,0.00%,Single_knockout
115,Neural Bot genomes/winner3_gen800.pkl,1169.5,0,2,0,0.00%,Single_knockout
116,Neural Bot genomes/checkpoint_gen200.pkl,1169.5,0,2,0,0.00%,Single_knockout
