Player 1,Player 2,Result,Player 1 First,Timestamp
Negamax2 P8,Negamax4 P4 T0.025,Player 1 Win,True,2025-03-08 18:18:36.291765
Negamax4 P4 T0.025,Negamax2 P8,Player 2 Win,True,2025-03-08 18:18:44.606889
Default Bot,Negamax5B P10 T0.25,Player 2 Win,True,2025-03-08 18:18:50.058776
Negamax5B P10 T0.25,Default Bot,Player 1 Win,True,2025-03-08 18:18:52.188350
Negamax5B P4 T0.025,Negamax5B P8,Player 2 Win,True,2025-03-08 18:18:53.101954
Negamax5B P8,Negamax5B P4 T0.025,Player 2 Win,True,2025-03-08 18:18:53.951592
Negamax5B P12 T0.025,Negamax5 P12 T0.01,Player 1 Win,True,2025-03-08 18:19:06.809411
Negamax5 P12 T0.01,Negamax5B P12 T0.025,Player 2 Win,True,2025-03-08 18:19:18.358681
Negamax2 P2,Negamax5B P10 T0.1,Player 2 Win,True,2025-03-08 18:19:23.710981
Negamax5B P10 T0.1,Negamax2 P2,Player 1 Win,True,2025-03-08 18:19:25.799538
Negamax5B P6 T0.25,Negamax5 P10 T0.01,Player 1 Win,True,2025-03-08 18:19:30.424051
Negamax5 P10 T0.01,Negamax5B P6 T0.25,Player 2 Win,True,2025-03-08 18:19:38.006828
Negamax5 P12 T0.025,Negamax5B P4 T0.01,Draw,True,2025-03-08 18:19:46.496909
Negamax5B P4 T0.01,Negamax5 P12 T0.025,Player 1 Win,True,2025-03-08 18:19:53.100345
Negamax4 P8 T0.25,Negamax5 P8 T0.25,Player 1 Win,True,2025-03-08 18:20:00.103791
Negamax5 P8 T0.25,Negamax4 P8 T0.25,Player 2 Win,True,2025-03-08 18:20:11.763212
Negamax4 P6 T0.1,Negamax5 P6 T0.25,Player 2 Win,True,2025-03-08 18:20:17.663737
Negamax5 P6 T0.25,Negamax4 P6 T0.1,Player 1 Win,True,2025-03-08 18:20:21.024568
Negamax5B P4 T0.25,Negamax5B P12 T0.1,Player 2 Win,True,2025-03-08 18:20:55.665068
Negamax5B P12 T0.1,Negamax5B P4 T0.25,Player 2 Win,True,2025-03-08 18:21:25.440604
