Bot,ELO,Wins,Losses,Draws,Win %,W/L Ratio,First Player Wins,Second Player Wins,Bot Type,Avg Execution Time (s)
Negamax5B P10 T0.025,1229.3,4,2,0,66.67%,2.000,2,2,Negamax5B,3.8505
Negamax5B P10 T0.1,1228.2,4,2,0,66.67%,2.000,2,2,Negamax5B,3.7280
Negamax5B P10 T0.25,1356.3,12,1,1,89.29%,12.000,7,5,Negamax5B,7.4651
Negamax5B P12,1257.1,6,2,0,75.00%,3.000,3,3,Negamax5B,15.9549
Negamax5B P12 T0.01,1231.7,4,2,0,66.67%,2.000,3,1,Negamax5B,12.7389
Negamax5B P12 T0.025,1232.2,5,3,0,62.50%,1.667,3,2,Negamax5B,12.0372
Negamax5B P12 T0.1,1214.4,2,1,1,62.50%,2.000,1,1,Negamax5B,20.9728
Negamax5B P12 T0.25,1200.0,2,2,0,50.00%,1.000,1,1,Negamax5B,10.3838
Negamax5B P2,1185.5,0,1,1,25.00%,0.000,0,0,Negamax5B,2.8820
Negamax5B P4,1214.5,2,1,1,62.50%,2.000,1,1,Negamax5B,2.1807
Negamax5B P4 T0.01,1261.9,5,1,2,75.00%,5.000,4,1,Negamax5B,4.4607
Negamax5B P4 T0.025,1233.1,4,2,0,66.67%,2.000,2,2,Negamax5B,5.2964
Negamax5B P4 T0.1,1280.4,8,3,1,70.83%,2.667,3,5,Negamax5B,8.3702
Negamax5B P4 T0.25,1218.6,3,2,1,58.33%,1.500,1,2,Negamax5B,14.6621
Negamax5B P6,1184.0,0,1,1,25.00%,0.000,0,0,Negamax5B,0.6375
Negamax5B P6 T0.01,1184.0,0,1,1,25.00%,0.000,0,0,Negamax5B,9.7381
Negamax5B P6 T0.025,1216.2,2,1,3,58.33%,2.000,1,1,Negamax5B,2.7717
Negamax5B P6 T0.1,1275.0,6,1,1,81.25%,6.000,2,4,Negamax5B,3.8475
Negamax5B P6 T0.25,1275.2,7,2,1,75.00%,3.500,4,3,Negamax5B,6.1914
Negamax5B P8,1229.1,3,1,0,75.00%,3.000,1,2,Negamax5B,0.6067
Negamax5B P8 T0.01,1288.3,6,0,4,80.00%,inf,3,3,Negamax5B,1.0382
Negamax5B P8 T0.025,1288.7,7,1,4,75.00%,7.000,4,3,Negamax5B,2.5268
Negamax5B P8 T0.1,1244.8,4,1,1,75.00%,4.000,2,2,Negamax5B,6.7317
Negamax5B P8 T0.25,1308.6,8,1,3,79.17%,8.000,5,3,Negamax5B,7.4798
Neural Bot genomes/checkpoint_gen100.pkl,1198.5,1,1,0,50.00%,1.000,0,1,Neural,0.0022
Neural Bot genomes/checkpoint_gen200.pkl,1169.5,0,2,0,0.00%,0.000,0,0,Neural,0.8454
Neural Bot genomes/winne7.pkl,1169.5,0,2,0,0.00%,0.000,0,0,Neural,0.1495
Neural Bot genomes/winner.pkl,1169.5,0,2,0,0.00%,0.000,0,0,Neural,0.3799
Neural Bot genomes/winner2_gen1200.pkl,1173.5,1,3,0,25.00%,0.333,1,0,Neural,1.1548
Neural Bot genomes/winner3_gen1000.pkl,1169.5,0,2,0,0.00%,0.000,0,0,Neural,6.1547
Neural Bot genomes/winner3_gen800.pkl,1169.5,0,2,0,0.00%,0.000,0,0,Neural,4.4215
