match_participant_1,match_participant_2,game_in_match_id,player_O,player_X,winner,moves,time_seconds,game_global_id
Gemma2 P8,o1 P6,0,Gemma2 P8,o1 P6,o1 P6,20,7.646295070648193,66
Gemma2 P8,o1 P6,1,o1 P6,Gemma2 P8,o1 P6,13,3.796654224395752,67
Gemini2.5 Flash Thinking P8,Negamax2 P8,0,Negamax2 P8,Gemini2.5 Flash Thinking P8,Negamax2 P8,7,1.3946423530578613,68
Gemini2.5 Flash Thinking P8,Negamax2 P8,1,Gemini2.5 Flash Thinking P8,Negamax2 P8,Gemini2.5 Flash Thinking P8,37,3.492379903793335,69
Negamax4 P6,o1 P6,0,Negamax4 P6,o1 P6,Negamax4 P6,39,1.3817050457000732,70
Negamax4 P6,o1 P6,1,o1 P6,Negamax4 P6,Negamax4 P6,42,1.6672134399414062,71
Gemini2.5 Pro P4 T0.25,Negamax5B P6,0,Negamax5B P6,Gemini2.5 Pro P4 T0.25,Negamax5B P6,35,0.5116584300994873,72
Gemini2.5 Pro P4 T0.25,Negamax5B P6,1,Gemini2.5 Pro P4 T0.25,Negamax5B P6,Negamax5B P6,36,0.5066835880279541,73
claude3.7-sonnet P10,o3-mini-high P6,0,o3-mini-high P6,claude3.7-sonnet P10,o3-mini-high P6,25,7.640212059020996,74
claude3.7-sonnet P10,o3-mini-high P6,1,claude3.7-sonnet P10,o3-mini-high P6,o3-mini-high P6,22,6.399097681045532,75
LeChat P8,claude3.7-sonnet P8,0,claude3.7-sonnet P8,LeChat P8,LeChat P8,38,6.800213098526001,76
LeChat P8,claude3.7-sonnet P8,1,LeChat P8,claude3.7-sonnet P8,LeChat P8,25,5.980109691619873,77
Gemma2 P6,Negamax5B P10,0,Negamax5B P10,Gemma2 P6,Negamax5B P10,31,7.2588582038879395,78
Gemma2 P6,Negamax5B P10,1,Gemma2 P6,Negamax5B P10,Negamax5B P10,30,7.750693321228027,79
Gemini2.5 Flash Thinking P6,o3 P10,0,Gemini2.5 Flash Thinking P6,o3 P10,o3 P10,22,4.780632257461548,80
Gemini2.5 Flash Thinking P6,o3 P10,1,o3 P10,Gemini2.5 Flash Thinking P6,o3 P10,7,1.6815268993377686,81
Negamax P6,Negamax4 P6,0,Negamax P6,Negamax4 P6,Negamax4 P6,32,2.9693603515625,82
Negamax P6,Negamax4 P6,1,Negamax4 P6,Negamax P6,Negamax4 P6,35,2.161146879196167,83
Qwen3 P6,gemini-pro-2.0 P6,0,gemini-pro-2.0 P6,Qwen3 P6,gemini-pro-2.0 P6,29,3.961118698120117,84
Qwen3 P6,gemini-pro-2.0 P6,1,Qwen3 P6,gemini-pro-2.0 P6,gemini-pro-2.0 P6,18,2.5600600242614746,85
gemini-flash-2.0 P8,r1 T0.25,0,r1 T0.25,gemini-flash-2.0 P8,r1 T0.25,21,8.078290939331055,86
gemini-flash-2.0 P8,r1 T0.25,1,gemini-flash-2.0 P8,r1 T0.25,gemini-flash-2.0 P8,19,7.745682716369629,87
Negamax4 P8,o3 P10,0,Negamax4 P8,o3 P10,Negamax4 P8,21,5.006966829299927,88
Negamax4 P8,o3 P10,1,o3 P10,Negamax4 P8,Negamax4 P8,16,5.1705238819122314,89
claude3.7-sonnet P8,o3-mini-high P6,0,o3-mini-high P6,claude3.7-sonnet P8,o3-mini-high P6,25,8.791651248931885,90
claude3.7-sonnet P8,o3-mini-high P6,1,claude3.7-sonnet P8,o3-mini-high P6,o3-mini-high P6,24,7.632578134536743,91
Negamax4 P4 T0.25,Negamax5 P10,0,Negamax4 P4 T0.25,Negamax5 P10,draw,42,3.2552309036254883,92
Negamax4 P4 T0.25,Negamax5 P10,1,Negamax5 P10,Negamax4 P4 T0.25,Negamax5 P10,41,3.2419350147247314,93
Negamax2 P6,o4-mini-high P12,0,Negamax2 P6,o4-mini-high P12,o4-mini-high P12,22,6.098804712295532,94
Negamax2 P6,o4-mini-high P12,1,o4-mini-high P12,Negamax2 P6,o4-mini-high P12,21,5.538493394851685,95
Gemma2 P8,o3-mini-high P6,0,o3-mini-high P6,Gemma2 P8,o3-mini-high P6,11,3.1580770015716553,96
Gemma2 P8,o3-mini-high P6,1,Gemma2 P8,o3-mini-high P6,o3-mini-high P6,12,3.8712716102600098,97
claude3.7-sonnet P10,r1 T0.5,0,claude3.7-sonnet P10,r1 T0.5,claude3.7-sonnet P10,23,9.75736403465271,98
claude3.7-sonnet P10,r1 T0.5,1,r1 T0.5,claude3.7-sonnet P10,claude3.7-sonnet P10,20,7.263121128082275,99
Negamax4 P8,Negamax5 P6,0,Negamax4 P8,Negamax5 P6,draw,42,0.9160733222961426,100
Negamax4 P8,Negamax5 P6,1,Negamax5 P6,Negamax4 P8,Negamax4 P8,38,1.303663969039917,101
LeChat P8,QwQ P6,0,LeChat P8,QwQ P6,QwQ P6,38,8.911807298660278,102
LeChat P8,QwQ P6,1,QwQ P6,LeChat P8,QwQ P6,39,9.477867603302002,103
Negamax2 P8,o4-mini-high P8,0,Negamax2 P8,o4-mini-high P8,o4-mini-high P8,30,1.5685009956359863,104
Negamax2 P8,o4-mini-high P8,1,o4-mini-high P8,Negamax2 P8,o4-mini-high P8,23,1.574995756149292,105
Gemma2 P6,Negamax2 P6,0,Negamax2 P6,Gemma2 P6,Negamax2 P6,23,1.4989042282104492,106
Gemma2 P6,Negamax2 P6,1,Gemma2 P6,Negamax2 P6,Negamax2 P6,28,1.8002619743347168,107
Gemini2.5 Pro P4 T0.25,gemini-flash-2.0 P8,0,gemini-flash-2.0 P8,Gemini2.5 Pro P4 T0.25,Gemini2.5 Pro P4 T0.25,18,3.9492743015289307,108
Gemini2.5 Pro P4 T0.25,gemini-flash-2.0 P8,1,Gemini2.5 Pro P4 T0.25,gemini-flash-2.0 P8,Gemini2.5 Pro P4 T0.25,9,2.2433786392211914,109
Qwen3 P6,gpt4o P8,0,gpt4o P8,Qwen3 P6,gpt4o P8,31,11.195258617401123,110
Qwen3 P6,gpt4o P8,1,Qwen3 P6,gpt4o P8,gpt4o P8,12,5.127943515777588,111
Negamax5B P10,claude3.7-sonnet P6,0,Negamax5B P10,claude3.7-sonnet P6,claude3.7-sonnet P6,32,7.243082523345947,112
Negamax5B P10,claude3.7-sonnet P6,1,claude3.7-sonnet P6,Negamax5B P10,Negamax5B P10,18,5.409796476364136,113
LeChat P6,Negamax5 P8,0,Negamax5 P8,LeChat P6,LeChat P6,36,0.8986365795135498,114
LeChat P6,Negamax5 P8,1,LeChat P6,Negamax5 P8,draw,42,1.0638611316680908,115
gemini-flash-2.0-thinking P6,o4-mini-high P6,0,gemini-flash-2.0-thinking P6,o4-mini-high P6,draw,42,0.9942736625671387,116
gemini-flash-2.0-thinking P6,o4-mini-high P6,1,o4-mini-high P6,gemini-flash-2.0-thinking P6,gemini-flash-2.0-thinking P6,40,0.90761399269104,117
Gemini2.5 Pro P6,Negamax3 P6,0,Negamax3 P6,Gemini2.5 Pro P6,Gemini2.5 Pro P6,22,2.4120256900787354,118
Gemini2.5 Pro P6,Negamax3 P6,1,Gemini2.5 Pro P6,Negamax3 P6,Gemini2.5 Pro P6,33,3.3972277641296387,119
Negamax5B P8,r1 T0.5,0,Negamax5B P8,r1 T0.5,Negamax5B P8,19,4.881916046142578,120
Negamax5B P8,r1 T0.5,1,r1 T0.5,Negamax5B P8,draw,42,11.203012228012085,121
Negamax3 P6,Negamax5B P10,0,Negamax3 P6,Negamax5B P10,Negamax5B P10,28,6.12262749671936,122
Negamax3 P6,Negamax5B P10,1,Negamax5B P10,Negamax3 P6,Negamax5B P10,33,4.717892408370972,123
gemini-flash-2.0 P6,o1 P8,0,gemini-flash-2.0 P6,o1 P8,gemini-flash-2.0 P6,39,12.274319648742676,124
gemini-flash-2.0 P6,o1 P8,1,o1 P8,gemini-flash-2.0 P6,o1 P8,7,3.3686535358428955,125
Gemini2.5 Pro P6 T0.25,gemini-flash-2.0 P6,0,gemini-flash-2.0 P6,Gemini2.5 Pro P6 T0.25,gemini-flash-2.0 P6,37,2.9867491722106934,126
Gemini2.5 Pro P6 T0.25,gemini-flash-2.0 P6,1,Gemini2.5 Pro P6 T0.25,gemini-flash-2.0 P6,Gemini2.5 Pro P6 T0.25,9,1.200373888015747,127
Negamax5 P6,o1 P8,0,Negamax5 P6,o1 P8,draw,42,13.873687505722046,128
Negamax5 P6,o1 P8,1,o1 P8,Negamax5 P6,draw,42,9.2198166847229,129
Negamax5B P10,gemini-flash-2.0 P8,0,Negamax5B P10,gemini-flash-2.0 P8,Negamax5B P10,19,5.392790079116821,130
Negamax5B P10,gemini-flash-2.0 P8,1,gemini-flash-2.0 P8,Negamax5B P10,draw,42,6.6131720542907715,131
o1 P8,same.dev P6,0,same.dev P6,o1 P8,o1 P8,10,3.736218214035034,132
o1 P8,same.dev P6,1,o1 P8,same.dev P6,o1 P8,7,3.0040900707244873,133
Negamax4 P6,o1 P8,0,Negamax4 P6,o1 P8,draw,42,10.96198558807373,134
Negamax4 P6,o1 P8,1,o1 P8,Negamax4 P6,draw,42,8.51297640800476,135
Negamax5B P10,gpt4o P6,0,Negamax5B P10,gpt4o P6,draw,42,12.004870176315308,136
Negamax5B P10,gpt4o P6,1,gpt4o P6,Negamax5B P10,gpt4o P6,39,10.373724460601807,137
LeChat P6,Negamax3 P6,0,Negamax3 P6,LeChat P6,LeChat P6,22,0.6182429790496826,138
LeChat P6,Negamax3 P6,1,LeChat P6,Negamax3 P6,LeChat P6,29,0.626767635345459,139
Negamax2 P8,gemini-flash-2.0-thinking P6,0,Negamax2 P8,gemini-flash-2.0-thinking P6,gemini-flash-2.0-thinking P6,30,5.351269006729126,140
Negamax2 P8,gemini-flash-2.0-thinking P6,1,gemini-flash-2.0-thinking P6,Negamax2 P8,gemini-flash-2.0-thinking P6,25,9.612308025360107,141
Negamax4 P8,o4-mini-high P6,0,Negamax4 P8,o4-mini-high P6,o4-mini-high P6,30,0.8149535655975342,142
Negamax4 P8,o4-mini-high P6,1,o4-mini-high P6,Negamax4 P8,Negamax4 P8,38,1.220987319946289,143
claude3.7-sonnet-thinking P8,gemini-flash-2.0-thinking P6,0,claude3.7-sonnet-thinking P8,gemini-flash-2.0-thinking P6,gemini-flash-2.0-thinking P6,26,5.357598304748535,144
claude3.7-sonnet-thinking P8,gemini-flash-2.0-thinking P6,1,gemini-flash-2.0-thinking P6,claude3.7-sonnet-thinking P8,claude3.7-sonnet-thinking P8,28,6.501452207565308,145
Negamax4 P4 T0.25,claude3.7-sonnet-thinking P6,0,Negamax4 P4 T0.25,claude3.7-sonnet-thinking P6,Negamax4 P4 T0.25,41,1.8541364669799805,146
Negamax4 P4 T0.25,claude3.7-sonnet-thinking P6,1,claude3.7-sonnet-thinking P6,Negamax4 P4 T0.25,claude3.7-sonnet-thinking P6,15,1.7486803531646729,147
Negamax4 P8,QwQ P6,0,Negamax4 P8,QwQ P6,QwQ P6,38,8.05008578300476,148
Negamax4 P8,QwQ P6,1,QwQ P6,Negamax4 P8,QwQ P6,41,9.260942697525024,149
Gemini2.5 Pro P6 T0.25,Negamax2 P6,0,Negamax2 P6,Gemini2.5 Pro P6 T0.25,Gemini2.5 Pro P6 T0.25,34,2.5390288829803467,150
Gemini2.5 Pro P6 T0.25,Negamax2 P6,1,Gemini2.5 Pro P6 T0.25,Negamax2 P6,Gemini2.5 Pro P6 T0.25,21,2.673398494720459,151
Gemini2.5 Pro P6 T0.25,gpt4o P6,0,gpt4o P6,Gemini2.5 Pro P6 T0.25,Gemini2.5 Pro P6 T0.25,38,12.463913917541504,152
Gemini2.5 Pro P6 T0.25,gpt4o P6,1,Gemini2.5 Pro P6 T0.25,gpt4o P6,Gemini2.5 Pro P6 T0.25,31,11.170858144760132,153
LeChat P10,o1 P8,0,o1 P8,LeChat P10,o1 P8,7,4.71221923828125,154
LeChat P10,o1 P8,1,LeChat P10,o1 P8,LeChat P10,37,21.618757247924805,155
Gemini2.5 Pro P6,o4-mini-high P8,0,Gemini2.5 Pro P6,o4-mini-high P8,Gemini2.5 Pro P6,33,2.179090738296509,156
Gemini2.5 Pro P6,o4-mini-high P8,1,o4-mini-high P8,Gemini2.5 Pro P6,Gemini2.5 Pro P6,40,1.603170394897461,157
claude3.7-sonnet P8,o4-mini-high P8,0,claude3.7-sonnet P8,o4-mini-high P8,draw,42,5.396766901016235,158
claude3.7-sonnet P8,o4-mini-high P8,1,o4-mini-high P8,claude3.7-sonnet P8,o4-mini-high P8,25,4.366927623748779,159
Gemini2.5 Pro P6,gemini-pro-2.0 P8,0,gemini-pro-2.0 P8,Gemini2.5 Pro P6,Gemini2.5 Pro P6,34,13.686951160430908,160
Gemini2.5 Pro P6,gemini-pro-2.0 P8,1,Gemini2.5 Pro P6,gemini-pro-2.0 P8,Gemini2.5 Pro P6,41,13.127797365188599,161
Random Bot,gemini-flash-2.0 P6,0,Random Bot,gemini-flash-2.0 P6,gemini-flash-2.0 P6,8,0.3369405269622803,162
Random Bot,gemini-flash-2.0 P6,1,gemini-flash-2.0 P6,Random Bot,gemini-flash-2.0 P6,7,0.2879312038421631,163
LeChat P6,gemini-flash-2.0 P8,0,gemini-flash-2.0 P8,LeChat P6,draw,42,4.3867692947387695,164
LeChat P6,gemini-flash-2.0 P8,1,LeChat P6,gemini-flash-2.0 P8,LeChat P6,11,2.613065242767334,165
o3-mini-high P6,r1 T0.25,0,o3-mini-high P6,r1 T0.25,o3-mini-high P6,9,3.5279507637023926,166
o3-mini-high P6,r1 T0.25,1,r1 T0.25,o3-mini-high P6,o3-mini-high P6,18,7.692260503768921,167
Negamax5 P6,QwQ P6,0,Negamax5 P6,QwQ P6,QwQ P6,32,5.052316427230835,168
Negamax5 P6,QwQ P6,1,QwQ P6,Negamax5 P6,Negamax5 P6,38,5.754873275756836,169
Negamax3 P6,Qwen3 P6,0,Negamax3 P6,Qwen3 P6,Qwen3 P6,22,2.2183544635772705,170
Negamax3 P6,Qwen3 P6,1,Qwen3 P6,Negamax3 P6,Qwen3 P6,21,2.1204147338867188,171
Negamax2 P8,Random Bot,0,Negamax2 P8,Random Bot,Negamax2 P8,9,0.5942888259887695,172
Negamax2 P8,Random Bot,1,Random Bot,Negamax2 P8,Negamax2 P8,8,0.9282922744750977,173
Negamax P6,claude3.7-sonnet-thinking P8,0,Negamax P6,claude3.7-sonnet-thinking P8,claude3.7-sonnet-thinking P8,18,6.696834564208984,174
Negamax P6,claude3.7-sonnet-thinking P8,1,claude3.7-sonnet-thinking P8,Negamax P6,claude3.7-sonnet-thinking P8,19,7.331343650817871,175
o4-mini-high P8,same.dev P6,0,same.dev P6,o4-mini-high P8,same.dev P6,39,2.3482792377471924,176
o4-mini-high P8,same.dev P6,1,o4-mini-high P8,same.dev P6,o4-mini-high P8,23,1.0483970642089844,177
Gemma2 P6,o1 P6,0,Gemma2 P6,o1 P6,o1 P6,14,2.4153387546539307,178
Gemma2 P6,o1 P6,1,o1 P6,Gemma2 P6,o1 P6,13,1.7673225402832031,179
Negamax5 P6,claude3.7-sonnet P8,0,Negamax5 P6,claude3.7-sonnet P8,claude3.7-sonnet P8,32,5.067235469818115,180
Negamax5 P6,claude3.7-sonnet P8,1,claude3.7-sonnet P8,Negamax5 P6,Negamax5 P6,40,5.676321744918823,181
Negamax2 P8,gpt4o P6,0,Negamax2 P8,gpt4o P6,gpt4o P6,34,8.323242425918579,182
Negamax2 P8,gpt4o P6,1,gpt4o P6,Negamax2 P8,gpt4o P6,27,8.479406118392944,183
Qwen3 P6,gemini-flash-2.0 P6,0,gemini-flash-2.0 P6,Qwen3 P6,Qwen3 P6,24,3.721210479736328,184
Qwen3 P6,gemini-flash-2.0 P6,1,Qwen3 P6,gemini-flash-2.0 P6,Qwen3 P6,7,0.9361975193023682,185
o3 P6,o4-mini-high P6,0,o4-mini-high P6,o3 P6,o4-mini-high P6,11,1.1910500526428223,186
o3 P6,o4-mini-high P6,1,o3 P6,o4-mini-high P6,o4-mini-high P6,22,3.2506771087646484,187
Negamax3 P8,claude3.7-sonnet-thinking P6,0,Negamax3 P8,claude3.7-sonnet-thinking P6,claude3.7-sonnet-thinking P6,22,9.326979160308838,188
Negamax3 P8,claude3.7-sonnet-thinking P6,1,claude3.7-sonnet-thinking P6,Negamax3 P8,claude3.7-sonnet-thinking P6,33,8.279485940933228,189
Negamax5 P8,gemini-pro-2.0 P6,0,Negamax5 P8,gemini-pro-2.0 P6,draw,42,2.1578385829925537,190
Negamax5 P8,gemini-pro-2.0 P6,1,gemini-pro-2.0 P6,Negamax5 P8,Negamax5 P8,34,3.401028633117676,191
Negamax5B P10,o3 P6,0,Negamax5B P10,o3 P6,Negamax5B P10,17,3.15779709815979,192
Negamax5B P10,o3 P6,1,o3 P6,Negamax5B P10,Negamax5B P10,22,7.291807413101196,193
Negamax2 P6,o1 P8,0,Negamax2 P6,o1 P8,o1 P8,34,16.56804656982422,194
Negamax2 P6,o1 P8,1,o1 P8,Negamax2 P6,o1 P8,25,11.450570344924927,195
Qwen3 P6,gemini-flash-2.0 P8,0,gemini-flash-2.0 P8,Qwen3 P6,Qwen3 P6,24,5.876118898391724,196
Qwen3 P6,gemini-flash-2.0 P8,1,Qwen3 P6,gemini-flash-2.0 P8,Qwen3 P6,7,1.9707789421081543,197
Negamax3 P6,QwQ P6,0,Negamax3 P6,QwQ P6,QwQ P6,22,5.562762260437012,198
Negamax3 P6,QwQ P6,1,QwQ P6,Negamax3 P6,QwQ P6,19,6.183114528656006,199
Negamax3 P6,o3-mini-high P6,0,Negamax3 P6,o3-mini-high P6,o3-mini-high P6,22,2.5096609592437744,200
Negamax3 P6,o3-mini-high P6,1,o3-mini-high P6,Negamax3 P6,o3-mini-high P6,35,4.132680416107178,201
Gemini2.5 Pro P4 T0.25,gemini-flash-2.0 P6,0,gemini-flash-2.0 P6,Gemini2.5 Pro P4 T0.25,Gemini2.5 Pro P4 T0.25,14,1.6992709636688232,202
Gemini2.5 Pro P4 T0.25,gemini-flash-2.0 P6,1,Gemini2.5 Pro P4 T0.25,gemini-flash-2.0 P6,Gemini2.5 Pro P4 T0.25,11,0.9910478591918945,203
Negamax2 P8,same.dev P6,0,Negamax2 P8,same.dev P6,Negamax2 P8,7,0.6575236320495605,204
Negamax2 P8,same.dev P6,1,same.dev P6,Negamax2 P8,Negamax2 P8,10,1.318559169769287,205
Gemma2 P6,QwQ P6,0,Gemma2 P6,QwQ P6,QwQ P6,12,3.6165332794189453,206
Gemma2 P6,QwQ P6,1,QwQ P6,Gemma2 P6,QwQ P6,13,5.786411285400391,207
Negamax3 P8,Random Bot,0,Negamax3 P8,Random Bot,Negamax3 P8,7,0.8162703514099121,208
Negamax3 P8,Random Bot,1,Random Bot,Negamax3 P8,Negamax3 P8,8,4.67533278465271,209
Negamax3 P6,o3 P10,0,Negamax3 P6,o3 P10,Negamax3 P6,27,6.797346591949463,210
Negamax3 P6,o3 P10,1,o3 P10,Negamax3 P6,Negamax3 P6,26,7.264314651489258,211
o4-mini-high P6,r1 T0.5,0,r1 T0.5,o4-mini-high P6,draw,42,10.521902799606323,212
o4-mini-high P6,r1 T0.5,1,o4-mini-high P6,r1 T0.5,o4-mini-high P6,11,2.5177974700927734,213
