match_participant_1,match_participant_2,game_in_match_id,player_O,player_X,winner,moves,time_seconds,game_global_id
Default Bot,Negamax2 P6,0,Negamax2 P6,Default Bot,Negamax2 P6,13,0.0980234146118164,0
Default Bot,Negamax2 P6,1,Default Bot,Negamax2 P6,Negamax2 P6,10,0.12415909767150879,1
Default Bot,Negamax4 P6,0,Negamax4 P6,Default Bot,Negamax4 P6,7,0.04856443405151367,2
Default Bot,Negamax4 P6,1,Default Bot,Negamax4 P6,Negamax4 P6,10,0.045044660568237305,3
Gemini2.5 Flash Thinking P6,Gemini2.5 Pro P4 T0.25,0,Gemini2.5 Pro P4 T0.25,Gemini2.5 Flash Thinking P6,Gemini2.5 Pro P4 T0.25,7,0.3448152542114258,4
Gemini2.5 Flash Thinking P6,Gemini2.5 Pro P4 T0.25,1,Gemini2.5 Flash Thinking P6,Gemini2.5 Pro P4 T0.25,Gemini2.5 Pro P4 T0.25,38,0.8124916553497314,5
Gemini2.5 Flash Thinking P8,LeChat P6,0,LeChat P6,Gemini2.5 Flash Thinking P8,LeChat P6,7,0.4110126495361328,6
Gemini2.5 Flash Thinking P8,LeChat P6,1,Gemini2.5 Flash Thinking P8,LeChat P6,draw,42,0.8700616359710693,7
Negamax4 P6,o4-mini-high P10,0,Negamax4 P6,o4-mini-high P10,draw,42,0.7253100872039795,8
Negamax4 P6,o4-mini-high P10,1,o4-mini-high P10,Negamax4 P6,Negamax4 P6,38,0.9216172695159912,9
Negamax5B P6,Negamax5B P8,0,Negamax5B P6,Negamax5B P8,Negamax5B P8,38,0.7674756050109863,10
Negamax5B P6,Negamax5B P8,1,Negamax5B P8,Negamax5B P6,draw,42,0.7448761463165283,11
Negamax5 P6,gemini-flash-2.0 P6,0,Negamax5 P6,gemini-flash-2.0 P6,Negamax5 P6,39,0.8826067447662354,12
Negamax5 P6,gemini-flash-2.0 P6,1,gemini-flash-2.0 P6,Negamax5 P6,Negamax5 P6,24,1.2294609546661377,13
Random Bot,claude3.7-sonnet-thinking P6,0,Random Bot,claude3.7-sonnet-thinking P6,claude3.7-sonnet-thinking P6,10,1.223433494567871,14
Random Bot,claude3.7-sonnet-thinking P6,1,claude3.7-sonnet-thinking P6,Random Bot,claude3.7-sonnet-thinking P6,13,1.3140909671783447,15
Gemini2.5 Flash Thinking P8,Negamax4 P8,0,Negamax4 P8,Gemini2.5 Flash Thinking P8,Negamax4 P8,7,0.6342909336090088,16
Gemini2.5 Flash Thinking P8,Negamax4 P8,1,Gemini2.5 Flash Thinking P8,Negamax4 P8,draw,42,1.8682618141174316,17
Gemini2.5 Flash Thinking P6,Gemini2.5 Pro P6 T0.25,0,Gemini2.5 Pro P6 T0.25,Gemini2.5 Flash Thinking P6,Gemini2.5 Pro P6 T0.25,7,0.7403428554534912,18
Gemini2.5 Flash Thinking P6,Gemini2.5 Pro P6 T0.25,1,Gemini2.5 Flash Thinking P6,Gemini2.5 Pro P6 T0.25,Gemini2.5 Pro P6 T0.25,30,2.601175546646118,19
Negamax5 P6,o3-mini-high P6,0,Negamax5 P6,o3-mini-high P6,o3-mini-high P6,32,1.5979652404785156,20
Negamax5 P6,o3-mini-high P6,1,o3-mini-high P6,Negamax5 P6,o3-mini-high P6,35,2.2728137969970703,21
Negamax4 P8,Negamax5B P8,0,Negamax4 P8,Negamax5B P8,draw,42,1.4122092723846436,22
Negamax4 P8,Negamax5B P8,1,Negamax5B P8,Negamax4 P8,draw,42,1.6711022853851318,23
Gemma2 P6,Negamax5B P8,0,Negamax5B P8,Gemma2 P6,Negamax5B P8,31,1.845658302307129,24
Gemma2 P6,Negamax5B P8,1,Gemma2 P6,Negamax5B P8,Negamax5B P8,32,2.508622169494629,25
Gemma2 P6,o3 P8,0,Gemma2 P6,o3 P8,Gemma2 P6,7,1.2935888767242432,26
Gemma2 P6,o3 P8,1,o3 P8,Gemma2 P6,Gemma2 P6,16,3.8953630924224854,27
Negamax5 P8,claude3.7-sonnet-thinking P6,0,Negamax5 P8,claude3.7-sonnet-thinking P6,Negamax5 P8,41,2.312824010848999,28
Negamax5 P8,claude3.7-sonnet-thinking P6,1,claude3.7-sonnet-thinking P6,Negamax5 P8,claude3.7-sonnet-thinking P6,41,3.3667051792144775,29
Negamax2 P8,r1 T0.25,0,Negamax2 P8,r1 T0.25,Negamax2 P8,7,2.0765459537506104,30
Negamax2 P8,r1 T0.25,1,r1 T0.25,Negamax2 P8,Negamax2 P8,10,3.688096523284912,31
Negamax2 P6,Random Bot,0,Negamax2 P6,Random Bot,Negamax2 P6,7,0.05255389213562012,32
Negamax2 P6,Random Bot,1,Random Bot,Negamax2 P6,Negamax2 P6,20,0.2758488655090332,33
Negamax5B P6,o3 P10,0,Negamax5B P6,o3 P10,Negamax5B P6,17,2.6606342792510986,34
Negamax5B P6,o3 P10,1,o3 P10,Negamax5B P6,Negamax5B P6,16,4.125558614730835,35
Gemini2.5 Pro P6,Negamax2 P6,0,Negamax2 P6,Gemini2.5 Pro P6,Gemini2.5 Pro P6,22,2.741347312927246,36
Gemini2.5 Pro P6,Negamax2 P6,1,Gemini2.5 Pro P6,Negamax2 P6,Gemini2.5 Pro P6,33,4.229662179946899,37
Gemini2.5 Flash Thinking P6,o1 P8,0,o1 P8,Gemini2.5 Flash Thinking P6,o1 P8,7,2.8375017642974854,38
Gemini2.5 Flash Thinking P6,o1 P8,1,Gemini2.5 Flash Thinking P6,o1 P8,o1 P8,42,4.34678316116333,39
o3 P8,same.dev P6,0,same.dev P6,o3 P8,same.dev P6,29,5.968913793563843,40
o3 P8,same.dev P6,1,o3 P8,same.dev P6,o3 P8,9,1.3194894790649414,41
Negamax4 P8,o1 P6,0,Negamax4 P8,o1 P6,draw,42,3.18334698677063,42
Negamax4 P8,o1 P6,1,o1 P6,Negamax4 P8,Negamax4 P8,42,4.2641541957855225,43
Gemini2.5 Flash Thinking P6,claude3.7-sonnet P8,0,claude3.7-sonnet P8,Gemini2.5 Flash Thinking P6,claude3.7-sonnet P8,7,1.160416603088379,44
Gemini2.5 Flash Thinking P6,claude3.7-sonnet P8,1,Gemini2.5 Flash Thinking P6,claude3.7-sonnet P8,claude3.7-sonnet P8,38,5.308912515640259,45
Qwen3 P6,o3-mini-high P6,0,o3-mini-high P6,Qwen3 P6,o3-mini-high P6,21,3.395759105682373,46
Qwen3 P6,o3-mini-high P6,1,Qwen3 P6,o3-mini-high P6,o3-mini-high P6,16,2.3156321048736572,47
LeChat P6,r1 T0.25,0,r1 T0.25,LeChat P6,LeChat P6,22,5.828083515167236,48
LeChat P6,r1 T0.25,1,LeChat P6,r1 T0.25,LeChat P6,11,2.7336766719818115,49
LeChat P6,r1 T0.5,0,r1 T0.5,LeChat P6,LeChat P6,22,5.824697017669678,50
LeChat P6,r1 T0.5,1,LeChat P6,r1 T0.5,LeChat P6,11,2.7091317176818848,51
LeChat P10,Negamax5 P6,0,Negamax5 P6,LeChat P10,draw,42,4.248794794082642,52
LeChat P10,Negamax5 P6,1,LeChat P10,Negamax5 P6,draw,42,5.031492471694946,53
Negamax4 P6,gemini-flash-2.0 P6,0,Negamax4 P6,gemini-flash-2.0 P6,Negamax4 P6,39,0.6647863388061523,54
Negamax4 P6,gemini-flash-2.0 P6,1,gemini-flash-2.0 P6,Negamax4 P6,Negamax4 P6,24,0.9797139167785645,55
claude3.7-sonnet P8,same.dev P6,0,claude3.7-sonnet P8,same.dev P6,claude3.7-sonnet P8,11,2.024566173553467,56
claude3.7-sonnet P8,same.dev P6,1,same.dev P6,claude3.7-sonnet P8,same.dev P6,23,5.334381103515625,57
Gemma2 P6,gemini-flash-2.0 P6,0,gemini-flash-2.0 P6,Gemma2 P6,Gemma2 P6,8,1.404123067855835,58
Gemma2 P6,gemini-flash-2.0 P6,1,Gemma2 P6,gemini-flash-2.0 P6,Gemma2 P6,7,1.3166477680206299,59
gemini-flash-2.0 P6,o3 P8,0,gemini-flash-2.0 P6,o3 P8,o3 P8,18,4.1529340744018555,60
gemini-flash-2.0 P6,o3 P8,1,o3 P8,gemini-flash-2.0 P6,o3 P8,9,1.8437848091125488,61
Default Bot,Gemini2.5 Flash Thinking P6,0,Default Bot,Gemini2.5 Flash Thinking P6,Default Bot,7,0.12214803695678711,62
Default Bot,Gemini2.5 Flash Thinking P6,1,Gemini2.5 Flash Thinking P6,Default Bot,Gemini2.5 Flash Thinking P6,29,0.31737589836120605,63
LeChat P6,Qwen3 P6,0,LeChat P6,Qwen3 P6,LeChat P6,21,1.695019006729126,64
LeChat P6,Qwen3 P6,1,Qwen3 P6,LeChat P6,LeChat P6,12,1.247558832168579,65
