bot1,bot2,bot1_wins,bot2_wins,draws,total_games_in_match,total_moves,total_time,bot1_type,bot2_type
Negamax5 P8,gemini-flash-2.0-thinking P6,1,1,0,2,78,5.516710996627808,Negamax5,gemini-flash-2.0-thinking
Negamax4 P6,gemini-pro-2.0 P6,1,0,1,2,78,4.438732385635376,Negamax4,gemini-pro-2.0
Gemini2.5 Pro P4 T0.25,gemini-flash-2.0-thinking P6,0,1,1,2,79,3.9439024925231934,Gemini2.5 Pro,gemini-flash-2.0-thinking
Default Bot,gemini-flash-2.0-thinking P6,0,2,0,2,21,2.7927589416503906,DefaultBot,gemini-flash-2.0-thinking
Random Bot,o4-mini-high P6,0,2,0,2,17,0.02202606201171875,RandomBot,o4-mini-high
Random Bot,gemini-flash-2.0-thinking P8,0,2,0,2,15,10.892669439315796,RandomBot,gemini-flash-2.0-thinking
Default Bot,claude3.7-sonnet-thinking P6,0,2,0,2,19,2.9105193614959717,DefaultBot,claude3.7-sonnet-thinking
gemini-flash-2.0 P8,r1 T0.5,1,1,0,2,34,14.493626356124878,gemini-flash-2.0,r1
Negamax4 P10,gemini-flash-2.0 P6,1,0,1,2,57,30.942989826202393,Negamax4,gemini-flash-2.0
QwQ P6,o1 P6,2,0,0,2,61,18.046760082244873,QwQ,o1
Gemini2.5 Pro P6,r1 T0.5,2,0,0,2,23,9.753613233566284,Gemini2.5 Pro,r1
Negamax4 P8,gpt4o P10,1,1,0,2,76,19.18690252304077,Negamax4,gpt4o
Negamax5B P8,gemini-flash-2.0 P6,1,0,1,2,81,3.440537929534912,Negamax5B,gemini-flash-2.0
LeChat P10,claude3.7-sonnet P6,1,1,0,2,50,19.61853575706482,LeChat,claude3.7-sonnet
Gemini2.5 Flash Thinking P6,claude3.7-sonnet-thinking P6,0,2,0,2,49,4.063045024871826,Gemini2.5 Flash Thinking,claude3.7-sonnet-thinking
Negamax4 P8,Negamax5B P6,1,0,1,2,80,2.9225151538848877,Negamax4,Negamax5B
LeChat P10,gpt4o P10,1,1,0,2,76,27.357027053833008,LeChat,gpt4o
Negamax3 P8,Negamax5B P10,0,1,1,2,72,18.94522213935852,Negamax3,Negamax5B
Gemma2 P8,Qwen3 P6,1,1,0,2,28,9.43625807762146,Gemma2,Qwen3
Negamax5B P8,gemini-pro-2.0 P8,1,0,1,2,82,21.05236291885376,Negamax5B,gemini-pro-2.0
Negamax2 P8,Negamax4 P8,0,2,0,2,53,9.425669431686401,Negamax2,Negamax4
Negamax4 P4 T0.25,Negamax5B P6,0,0,2,2,84,0.3067810535430908,Negamax4,Negamax5B
claude3.7-sonnet P10,o4-mini-high P6,1,0,1,2,74,10.007011651992798,claude3.7-sonnet,o4-mini-high
Random Bot,o1 P6,0,2,0,2,23,1.725583553314209,RandomBot,o1
Negamax5 P8,claude3.7-sonnet P10,1,1,0,2,72,11.660223484039307,Negamax5,claude3.7-sonnet
Gemma2 P6,o3 P6,1,1,0,2,30,3.852351665496826,Gemma2,o3
gemini-pro-2.0 P8,o3 P10,2,0,0,2,41,24.47502589225769,gemini-pro-2.0,o3
Gemini2.5 Pro P6,QwQ P6,0,2,0,2,73,25.127341747283936,Gemini2.5 Pro,QwQ
gemini-flash-2.0-thinking P6,o3 P6,1,1,0,2,44,5.152660369873047,gemini-flash-2.0-thinking,o3
Negamax4 P10,o3 P10,2,0,0,2,31,34.7762496471405,Negamax4,o3
Negamax P6,claude3.7-sonnet-thinking P6,0,2,0,2,55,12.881307601928711,Negamax,claude3.7-sonnet-thinking
Negamax4 P4 T0.25,o1 P6,2,0,0,2,81,3.6088175773620605,Negamax4,o1
Negamax P6,Negamax4 P10,0,2,0,2,65,84.55208230018616,Negamax,Negamax4
LeChat P10,o4-mini-high P10,0,0,2,2,84,14.867389917373657,LeChat,o4-mini-high
Gemini2.5 Flash Thinking P8,gemini-pro-2.0 P6,0,2,0,2,47,4.803415060043335,Gemini2.5 Flash Thinking,gemini-pro-2.0
Gemini2.5 Flash Thinking P8,Random Bot,2,0,0,2,33,2.26719331741333,Gemini2.5 Flash Thinking,RandomBot
Negamax4 P6,gemini-flash-2.0-thinking P6,2,0,0,2,63,3.0752618312835693,Negamax4,gemini-flash-2.0-thinking
QwQ P6,o3 P10,2,0,0,2,39,29.640231370925903,QwQ,o3
claude3.7-sonnet-thinking P8,o4-mini-high P8,1,0,1,2,81,14.833228588104248,claude3.7-sonnet-thinking,o4-mini-high
Negamax4 P10,same.dev P6,1,1,0,2,78,40.79859113693237,Negamax4,same.dev
gemini-flash-2.0-thinking P8,o4-mini-high P6,1,0,1,2,74,18.066500663757324,gemini-flash-2.0-thinking,o4-mini-high
Negamax3 P8,Negamax4 P6,0,2,0,2,67,4.00134539604187,Negamax3,Negamax4
Gemma2 P6,Gemma2 P8,2,0,0,2,79,24.466059684753418,Gemma2,Gemma2
LeChat P8,gpt4o P10,0,2,0,2,77,21.045535802841187,LeChat,gpt4o
Negamax3 P6,gpt4o P8,0,2,0,2,59,17.399969577789307,Negamax3,gpt4o
Negamax4 P4 T0.25,gemini-flash-2.0 P6,1,0,1,2,81,2.7281136512756348,Negamax4,gemini-flash-2.0
Gemini2.5 Pro P4 T0.25,r1 T0.25,2,0,0,2,27,7.358514308929443,Gemini2.5 Pro,r1
Negamax5B P10,o1 P6,2,0,0,2,83,17.043638944625854,Negamax5B,o1
Gemini2.5 Flash Thinking P8,o3 P10,1,1,0,2,36,9.298685550689697,Gemini2.5 Flash Thinking,o3
Negamax5 P6,gpt4o P10,0,1,1,2,81,19.35862112045288,Negamax5,gpt4o
Negamax4 P4 T0.25,claude3.7-sonnet-thinking P8,0,1,1,2,57,10.20826268196106,Negamax4,claude3.7-sonnet-thinking
Random Bot,claude3.7-sonnet P8,0,2,0,2,29,3.437671422958374,RandomBot,claude3.7-sonnet
LeChat P10,claude3.7-sonnet-thinking P8,0,1,1,2,77,28.21424651145935,LeChat,claude3.7-sonnet-thinking
Gemma2 P8,same.dev P6,2,0,0,2,21,8.334598064422607,Gemma2,same.dev
LeChat P10,o4-mini-high P8,0,1,1,2,79,11.350366115570068,LeChat,o4-mini-high
Negamax5 P8,o4-mini-high P8,0,1,1,2,72,1.93967866897583,Negamax5,o4-mini-high
gemini-pro-2.0 P8,o4-mini-high P10,0,1,1,2,80,21.649176836013794,gemini-pro-2.0,o4-mini-high
o3 P10,o4-mini-high P6,0,2,0,2,27,6.548964738845825,o3,o4-mini-high
Gemini2.5 Flash Thinking P8,Gemma2 P6,1,1,0,2,42,3.777341842651367,Gemini2.5 Flash Thinking,Gemma2
Gemini2.5 Flash Thinking P6,Negamax4 P8,0,2,0,2,33,4.36939549446106,Gemini2.5 Flash Thinking,Negamax4
gemini-flash-2.0-thinking P8,same.dev P6,1,0,1,2,55,11.211870193481445,gemini-flash-2.0-thinking,same.dev
Gemini2.5 Flash Thinking P8,Gemma2 P8,2,0,0,2,45,14.018605947494507,Gemini2.5 Flash Thinking,Gemma2
claude3.7-sonnet P10,o1 P6,1,1,0,2,42,11.550888299942017,claude3.7-sonnet,o1
Negamax4 P8,o4-mini-high P8,1,1,0,2,68,3.2977871894836426,Negamax4,o4-mini-high
Random Bot,gemini-flash-2.0 P8,0,2,0,2,25,4.843939781188965,RandomBot,gemini-flash-2.0
claude3.7-sonnet P6,gpt4o P8,1,1,0,2,68,28.536081790924072,claude3.7-sonnet,gpt4o
Negamax5 P6,Negamax5B P8,0,1,1,2,80,1.8181562423706055,Negamax5,Negamax5B
claude3.7-sonnet-thinking P6,o3 P6,2,0,0,2,47,9.948750257492065,claude3.7-sonnet-thinking,o3
Negamax4 P6,same.dev P6,1,1,0,2,72,4.369874954223633,Negamax4,same.dev
Negamax2 P8,gemini-flash-2.0 P8,2,0,0,2,17,6.027534246444702,Negamax2,gemini-flash-2.0
LeChat P10,o3 P10,0,1,1,2,53,20.993212938308716,LeChat,o3
Negamax2 P8,Negamax5 P6,0,2,0,2,67,4.143857479095459,Negamax2,Negamax5
gemini-pro-2.0 P6,o3-mini-high P6,1,1,0,2,62,11.555021524429321,gemini-pro-2.0,o3-mini-high
Gemini2.5 Pro P4 T0.25,o3 P10,0,2,0,2,75,17.307395696640015,Gemini2.5 Pro,o3
Random Bot,o4-mini-high P8,0,2,0,2,15,0.10350871086120605,RandomBot,o4-mini-high
o1 P8,r1 T0.5,2,0,0,2,23,20.604182481765747,o1,r1
QwQ P6,gemini-pro-2.0 P8,1,1,0,2,70,37.33307600021362,QwQ,gemini-pro-2.0
LeChat P8,gemini-flash-2.0 P8,1,0,1,2,53,9.262309789657593,LeChat,gemini-flash-2.0
Negamax4 P10,Negamax5B P6,0,0,2,2,84,22.81987977027893,Negamax4,Negamax5B
Negamax4 P10,Negamax4 P8,0,0,2,2,84,25.576107501983643,Negamax4,Negamax4
Negamax4 P10,o3 P6,2,0,0,2,31,33.43568563461304,Negamax4,o3
gemini-flash-2.0-thinking P6,o1 P8,1,0,1,2,82,40.39135408401489,gemini-flash-2.0-thinking,o1
LeChat P8,Negamax5 P10,0,0,2,2,84,13.107656240463257,LeChat,Negamax5
Negamax4 P10,r1 T0.5,1,0,1,2,61,42.70515751838684,Negamax4,r1
Negamax2 P8,Negamax4 P4 T0.25,0,2,0,2,65,5.168945550918579,Negamax2,Negamax4
LeChat P6,o4-mini-high P6,0,0,2,2,84,0.9275796413421631,LeChat,o4-mini-high
claude3.7-sonnet-thinking P8,r1 T0.25,2,0,0,2,29,14.268237590789795,claude3.7-sonnet-thinking,r1
Gemini2.5 Flash Thinking P6,gpt4o P6,0,2,0,2,49,13.792200088500977,Gemini2.5 Flash Thinking,gpt4o
Negamax4 P6,Qwen3 P6,2,0,0,2,39,4.162360429763794,Negamax4,Qwen3
LeChat P6,Negamax5B P8,1,0,1,2,78,2.318697452545166,LeChat,Negamax5B
Negamax3 P6,claude3.7-sonnet P8,0,2,0,2,43,6.693077564239502,Negamax3,claude3.7-sonnet
gemini-flash-2.0 P6,o4-mini-high P10,0,1,1,2,81,5.221444606781006,gemini-flash-2.0,o4-mini-high
claude3.7-sonnet P8,r1 T0.25,2,0,0,2,43,17.02547335624695,claude3.7-sonnet,r1
claude3.7-sonnet P10,gemini-pro-2.0 P8,1,1,0,2,36,14.672774314880371,claude3.7-sonnet,gemini-pro-2.0
claude3.7-sonnet-thinking P8,gpt4o P10,1,0,1,2,77,37.552992820739746,claude3.7-sonnet-thinking,gpt4o
Negamax4 P4 T0.25,QwQ P6,0,2,0,2,47,12.6060950756073,Negamax4,QwQ
Gemini2.5 Flash Thinking P6,Negamax4 P10,0,2,0,2,29,39.016165018081665,Gemini2.5 Flash Thinking,Negamax4
QwQ P6,o3 P6,2,0,0,2,35,17.73104453086853,QwQ,o3
Negamax2 P6,Negamax4 P10,0,2,0,2,65,77.48213410377502,Negamax2,Negamax4
claude3.7-sonnet-thinking P6,gpt4o P6,1,1,0,2,80,24.911187410354614,claude3.7-sonnet-thinking,gpt4o
Negamax2 P6,o3 P10,1,1,0,2,50,13.016638994216919,Negamax2,o3
Negamax3 P6,claude3.7-sonnet P10,0,2,0,2,43,6.70509672164917,Negamax3,claude3.7-sonnet
Default Bot,gemini-flash-2.0 P8,1,1,0,2,16,3.6223292350769043,DefaultBot,gemini-flash-2.0
Gemini2.5 Pro P6 T0.25,claude3.7-sonnet P6,2,0,0,2,41,10.333910942077637,Gemini2.5 Pro,claude3.7-sonnet
Qwen3 P6,gemini-flash-2.0-thinking P8,0,2,0,2,43,33.484814405441284,Qwen3,gemini-flash-2.0-thinking
o1 P6,o3 P10,2,0,0,2,39,15.8433837890625,o1,o3
o1 P6,r1 T0.25,2,0,0,2,25,8.957287311553955,o1,r1
Gemini2.5 Pro P6 T0.25,o4-mini-high P8,1,1,0,2,70,5.696002006530762,Gemini2.5 Pro,o4-mini-high
Gemini2.5 Pro P4 T0.25,QwQ P6,1,1,0,2,54,23.324535369873047,Gemini2.5 Pro,QwQ
Negamax2 P8,o3 P6,1,1,0,2,66,15.724870681762695,Negamax2,o3
claude3.7-sonnet-thinking P8,o3-mini-high P6,2,0,0,2,73,22.26344919204712,claude3.7-sonnet-thinking,o3-mini-high
Negamax P6,o3 P8,1,1,0,2,50,17.370518684387207,Negamax,o3
Negamax5 P8,claude3.7-sonnet P6,1,1,0,2,74,11.507510900497437,Negamax5,claude3.7-sonnet
Default Bot,o4-mini-high P6,0,2,0,2,17,0.03400135040283203,DefaultBot,o4-mini-high
gemini-pro-2.0 P6,o4-mini-high P8,0,1,1,2,78,5.364466667175293,gemini-pro-2.0,o4-mini-high
QwQ P6,gemini-flash-2.0-thinking P6,1,1,0,2,66,19.40769624710083,QwQ,gemini-flash-2.0-thinking
gemini-flash-2.0 P6,o4-mini-high P6,0,1,1,2,81,2.019681692123413,gemini-flash-2.0,o4-mini-high
claude3.7-sonnet P8,gpt4o P6,1,1,0,2,68,27.420905351638794,claude3.7-sonnet,gpt4o
gemini-flash-2.0-thinking P8,gpt4o P6,1,1,0,2,54,35.6084988117218,gemini-flash-2.0-thinking,gpt4o
Negamax P6,o4-mini-high P8,0,2,0,2,53,6.977609634399414,Negamax,o4-mini-high
Negamax P6,gemini-flash-2.0-thinking P6,0,2,0,2,55,10.247410535812378,Negamax,gemini-flash-2.0-thinking
Gemini2.5 Flash Thinking P6,o1 P6,1,1,0,2,46,1.7406532764434814,Gemini2.5 Flash Thinking,o1
Negamax5 P10,QwQ P6,0,2,0,2,77,31.364760398864746,Negamax5,QwQ
Negamax4 P6,r1 T0.5,2,0,0,2,47,11.7515389919281,Negamax4,r1
Gemini2.5 Pro P4 T0.25,o4-mini-high P6,0,1,1,2,77,1.549142837524414,Gemini2.5 Pro,o4-mini-high
gpt4o P6,r1 T0.25,1,0,1,2,53,25.19420838356018,gpt4o,r1
LeChat P6,gemini-pro-2.0 P6,1,0,1,2,78,4.9359354972839355,LeChat,gemini-pro-2.0
Negamax5B P6,same.dev P6,1,1,0,2,72,3.2842864990234375,Negamax5B,same.dev
Gemini2.5 Pro P6 T0.25,Gemma2 P8,2,0,0,2,15,5.185462713241577,Gemini2.5 Pro,Gemma2
Negamax5B P10,QwQ P6,0,2,0,2,77,24.511154890060425,Negamax5B,QwQ
Gemini2.5 Pro P6 T0.25,Negamax4 P4 T0.25,1,1,0,2,74,5.118951797485352,Gemini2.5 Pro,Negamax4
Gemma2 P6,claude3.7-sonnet P6,0,2,0,2,31,5.685497999191284,Gemma2,claude3.7-sonnet
Gemini2.5 Pro P6 T0.25,o1 P8,2,0,0,2,77,31.25873374938965,Gemini2.5 Pro,o1
gemini-pro-2.0 P8,o1 P6,2,0,0,2,73,31.763783931732178,gemini-pro-2.0,o1
Gemini2.5 Pro P6 T0.25,Negamax P6,2,0,0,2,53,11.569015502929688,Gemini2.5 Pro,Negamax
Negamax5 P8,gemini-flash-2.0 P6,1,0,1,2,81,4.344876527786255,Negamax5,gemini-flash-2.0
o4-mini-high P6,same.dev P6,1,1,0,2,62,3.0742619037628174,o4-mini-high,same.dev
Negamax3 P6,o3 P6,2,0,0,2,49,5.789506435394287,Negamax3,o3
Negamax5 P6,claude3.7-sonnet-thinking P8,0,1,1,2,81,14.744795560836792,Negamax5,claude3.7-sonnet-thinking
o1 P6,same.dev P6,1,1,0,2,42,5.302965402603149,o1,same.dev
claude3.7-sonnet-thinking P6,o4-mini-high P12,0,2,0,2,83,15.800391435623169,claude3.7-sonnet-thinking,o4-mini-high
Negamax5 P8,gemini-pro-2.0 P8,1,1,0,2,72,20.357795000076294,Negamax5,gemini-pro-2.0
LeChat P8,claude3.7-sonnet-thinking P6,0,1,1,2,75,12.376087427139282,LeChat,claude3.7-sonnet-thinking
Gemma2 P6,r1 T0.5,2,0,0,2,17,4.942439794540405,Gemma2,r1
Negamax5B P10,Negamax5B P6,0,0,2,2,84,8.990795373916626,Negamax5B,Negamax5B
Gemini2.5 Pro P6 T0.25,gemini-pro-2.0 P6,0,1,1,2,62,8.779776334762573,Gemini2.5 Pro,gemini-pro-2.0
Gemma2 P6,Negamax5 P10,0,2,0,2,61,21.09536600112915,Gemma2,Negamax5
Negamax3 P6,Negamax4 P4 T0.25,0,2,0,2,65,0.6080529689788818,Negamax3,Negamax4
Negamax4 P8,o4-mini-high P10,1,1,0,2,68,4.8074259757995605,Negamax4,o4-mini-high
LeChat P10,Qwen3 P6,1,1,0,2,28,13.596203088760376,LeChat,Qwen3
Random Bot,gemini-pro-2.0 P8,0,2,0,2,15,4.331881046295166,RandomBot,gemini-pro-2.0
claude3.7-sonnet-thinking P6,o3 P8,2,0,0,2,59,16.54546546936035,claude3.7-sonnet-thinking,o3
Gemini2.5 Pro P6 T0.25,Qwen3 P6,2,0,0,2,39,7.811691761016846,Gemini2.5 Pro,Qwen3
gemini-flash-2.0-thinking P8,gpt4o P8,1,1,0,2,50,34.241007566452026,gemini-flash-2.0-thinking,gpt4o
Gemini2.5 Pro P6,o1 P6,1,1,0,2,68,9.64635944366455,Gemini2.5 Pro,o1
gemini-flash-2.0 P6,gemini-pro-2.0 P8,1,1,0,2,40,13.281674146652222,gemini-flash-2.0,gemini-pro-2.0
LeChat P8,Negamax4 P6,0,1,1,2,76,5.04144549369812,LeChat,Negamax4
QwQ P6,gemini-flash-2.0 P6,2,0,0,2,31,14.398276329040527,QwQ,gemini-flash-2.0
Gemini2.5 Flash Thinking P6,Qwen3 P6,0,2,0,2,33,2.895761251449585,Gemini2.5 Flash Thinking,Qwen3
Negamax5B P10,o4-mini-high P6,1,0,1,2,83,7.947714805603027,Negamax5B,o4-mini-high
Default Bot,gemini-pro-2.0 P6,0,2,0,2,27,1.6836538314819336,DefaultBot,gemini-pro-2.0
Gemini2.5 Pro P4 T0.25,Qwen3 P6,2,0,0,2,47,8.738274812698364,Gemini2.5 Pro,Qwen3
Negamax4 P4 T0.25,o3 P10,2,0,0,2,33,6.6355860233306885,Negamax4,o3
Default Bot,same.dev P6,1,1,0,2,22,1.3226141929626465,DefaultBot,same.dev
Default Bot,Gemini2.5 Pro P4 T0.25,0,2,0,2,19,0.590054988861084,DefaultBot,Gemini2.5 Pro
Negamax5B P10,gpt4o P8,0,2,0,2,73,22.697506189346313,Negamax5B,gpt4o
claude3.7-sonnet-thinking P6,o1 P8,2,0,0,2,69,50.885984659194946,claude3.7-sonnet-thinking,o1
LeChat P8,Negamax5B P6,0,1,1,2,80,5.0184454917907715,LeChat,Negamax5B
Negamax4 P6,claude3.7-sonnet P6,0,1,1,2,74,10.198904991149902,Negamax4,claude3.7-sonnet
Negamax4 P8,Negamax5 P10,0,0,2,2,84,10.503437280654907,Negamax4,Negamax5
Gemma2 P8,claude3.7-sonnet P10,0,2,0,2,35,14.42028522491455,Gemma2,claude3.7-sonnet
claude3.7-sonnet P8,o4-mini-high P10,1,1,0,2,74,11.491525173187256,claude3.7-sonnet,o4-mini-high
gpt4o P6,o3 P8,2,0,0,2,35,19.110195875167847,gpt4o,o3
Gemma2 P8,gemini-pro-2.0 P8,0,2,0,2,15,9.42684030532837,Gemma2,gemini-pro-2.0
Negamax4 P8,claude3.7-sonnet-thinking P8,0,1,1,2,77,18.821671962738037,Negamax4,claude3.7-sonnet-thinking
Gemini2.5 Pro P6,Negamax4 P8,1,1,0,2,80,6.945626258850098,Gemini2.5 Pro,Negamax4
gpt4o P10,gpt4o P8,1,1,0,2,78,35.33963084220886,gpt4o,gpt4o
Default Bot,Gemini2.5 Pro P6 T0.25,0,2,0,2,19,1.7506518363952637,DefaultBot,Gemini2.5 Pro
Negamax5B P10,r1 T0.5,2,0,0,2,41,17.24553418159485,Negamax5B,r1
Gemini2.5 Flash Thinking P8,Negamax5B P6,0,1,1,2,49,1.4816317558288574,Gemini2.5 Flash Thinking,Negamax5B
claude3.7-sonnet-thinking P8,gemini-flash-2.0 P6,2,0,0,2,29,10.234909296035767,claude3.7-sonnet-thinking,gemini-flash-2.0
Negamax4 P10,gemini-flash-2.0-thinking P8,1,1,0,2,70,67.26029133796692,Negamax4,gemini-flash-2.0-thinking
Negamax3 P8,Negamax5 P10,0,1,1,2,72,19.219218015670776,Negamax3,Negamax5
LeChat P10,o3 P8,1,1,0,2,34,19.400731325149536,LeChat,o3
Gemini2.5 Flash Thinking P8,LeChat P8,1,1,0,2,48,4.378390073776245,Gemini2.5 Flash Thinking,LeChat
Qwen3 P6,same.dev P6,1,1,0,2,28,3.1742823123931885,Qwen3,same.dev
gpt4o P6,same.dev P6,1,1,0,2,76,20.680341720581055,gpt4o,same.dev
Negamax4 P10,Negamax5B P8,0,0,2,2,84,24.37316632270813,Negamax4,Negamax5B
LeChat P8,r1 T0.5,2,0,0,2,33,11.980072736740112,LeChat,r1
Negamax4 P10,claude3.7-sonnet P8,1,1,0,2,74,37.79735732078552,Negamax4,claude3.7-sonnet
gemini-flash-2.0 P6,o3-mini-high P6,0,2,0,2,31,5.3484838008880615,gemini-flash-2.0,o3-mini-high
Negamax2 P8,claude3.7-sonnet-thinking P6,0,2,0,2,51,32.63190531730652,Negamax2,claude3.7-sonnet-thinking
Gemini2.5 Pro P4 T0.25,o4-mini-high P12,0,2,0,2,77,12.408114910125732,Gemini2.5 Pro,o4-mini-high
LeChat P8,Qwen3 P6,1,1,0,2,24,5.337981939315796,LeChat,Qwen3
Negamax4 P6,Negamax5 P8,1,1,0,2,76,1.8351624011993408,Negamax4,Negamax5
LeChat P6,o3 P8,2,0,0,2,35,7.909215927124023,LeChat,o3
Gemini2.5 Pro P6,Negamax4 P10,0,0,2,2,84,35.929210901260376,Gemini2.5 Pro,Negamax4
Negamax3 P8,gpt4o P8,0,2,0,2,63,19.672266721725464,Negamax3,gpt4o
Negamax5B P6,gpt4o P10,0,1,1,2,81,19.16672420501709,Negamax5B,gpt4o
Negamax5 P10,o3 P6,2,0,0,2,39,13.41620945930481,Negamax5,o3
Negamax3 P8,QwQ P6,0,2,0,2,43,20.737359285354614,Negamax3,QwQ
LeChat P6,gemini-flash-2.0-thinking P8,1,1,0,2,64,19.956289052963257,LeChat,gemini-flash-2.0-thinking
Gemini2.5 Flash Thinking P6,Negamax5 P10,0,2,0,2,49,12.213103771209717,Gemini2.5 Flash Thinking,Negamax5
gpt4o P8,o1 P6,2,0,0,2,77,22.792048931121826,gpt4o,o1
Negamax4 P10,Negamax4 P4 T0.25,0,0,2,2,84,22.521520137786865,Negamax4,Negamax4
claude3.7-sonnet P8,gpt4o P8,1,1,0,2,68,31.185797214508057,claude3.7-sonnet,gpt4o
Qwen3 P6,gpt4o P6,0,2,0,2,33,13.094176769256592,Qwen3,gpt4o
Gemini2.5 Flash Thinking P6,gemini-flash-2.0-thinking P8,0,2,0,2,25,13.219194650650024,Gemini2.5 Flash Thinking,gemini-flash-2.0-thinking
Gemini2.5 Pro P6,Negamax5 P8,1,1,0,2,76,7.343159198760986,Gemini2.5 Pro,Negamax5
QwQ P6,gpt4o P10,1,1,0,2,68,36.23474717140198,QwQ,gpt4o
Negamax P6,gemini-pro-2.0 P6,0,2,0,2,39,11.786558151245117,Negamax,gemini-pro-2.0
o1 P6,o4-mini-high P6,0,2,0,2,75,5.521500825881958,o1,o4-mini-high
Negamax3 P8,o3 P6,1,1,0,2,66,15.824427127838135,Negamax3,o3
Default Bot,r1 T0.25,1,1,0,2,14,4.5169031620025635,DefaultBot,r1
Negamax3 P8,Negamax4 P8,0,2,0,2,53,9.470845222473145,Negamax3,Negamax4
Gemini2.5 Flash Thinking P6,gemini-flash-2.0 P8,0,2,0,2,31,6.671102285385132,Gemini2.5 Flash Thinking,gemini-flash-2.0
r1 T0.25,same.dev P6,0,2,0,2,33,9.330336332321167,r1,same.dev
o4-mini-high P10,o4-mini-high P6,0,0,2,2,84,2.2897071838378906,o4-mini-high,o4-mini-high
Gemini2.5 Pro P6,Negamax5B P8,1,1,0,2,76,7.270648241043091,Gemini2.5 Pro,Negamax5B
gpt4o P8,o4-mini-high P10,1,0,1,2,81,18.74869656562805,gpt4o,o4-mini-high
Gemma2 P8,gpt4o P8,0,2,0,2,41,22.804052352905273,Gemma2,gpt4o
claude3.7-sonnet-thinking P6,gemini-flash-2.0 P6,2,0,0,2,23,4.6969218254089355,claude3.7-sonnet-thinking,gemini-flash-2.0
claude3.7-sonnet-thinking P6,gpt4o P10,1,1,0,2,78,30.933783292770386,claude3.7-sonnet-thinking,gpt4o
gemini-flash-2.0 P6,gemini-flash-2.0-thinking P6,0,2,0,2,43,5.322484493255615,gemini-flash-2.0,gemini-flash-2.0-thinking
Gemini2.5 Pro P4 T0.25,claude3.7-sonnet-thinking P8,1,1,0,2,76,16.214460611343384,Gemini2.5 Pro,claude3.7-sonnet-thinking
Gemma2 P6,gemini-flash-2.0-thinking P8,0,2,0,2,45,27.639484643936157,Gemma2,gemini-flash-2.0-thinking
Negamax4 P10,Negamax4 P6,0,0,2,2,84,25.382286071777344,Negamax4,Negamax4
gemini-flash-2.0 P8,o3-mini-high P6,0,2,0,2,41,12.28109860420227,gemini-flash-2.0,o3-mini-high
Negamax3 P6,claude3.7-sonnet-thinking P8,0,2,0,2,37,10.405934810638428,Negamax3,claude3.7-sonnet-thinking
Random Bot,o3-mini-high P6,0,2,0,2,25,2.989269733428955,RandomBot,o3-mini-high
Gemini2.5 Pro P6 T0.25,Gemma2 P6,2,0,0,2,17,2.406216621398926,Gemini2.5 Pro,Gemma2
Gemini2.5 Pro P4 T0.25,same.dev P6,1,1,0,2,38,4.590911865234375,Gemini2.5 Pro,same.dev
Gemini2.5 Pro P4 T0.25,LeChat P10,1,1,0,2,74,11.709062337875366,Gemini2.5 Pro,LeChat
Gemini2.5 Flash Thinking P6,Gemma2 P6,1,1,0,2,42,1.9606742858886719,Gemini2.5 Flash Thinking,Gemma2
Negamax2 P6,claude3.7-sonnet P6,0,2,0,2,43,6.827619791030884,Negamax2,claude3.7-sonnet
gpt4o P8,o4-mini-high P8,1,0,1,2,81,16.713008880615234,gpt4o,o4-mini-high
Qwen3 P6,r1 T0.25,2,0,0,2,29,9.662380933761597,Qwen3,r1
Gemini2.5 Pro P4 T0.25,Negamax4 P10,1,1,0,2,72,29.197637796401978,Gemini2.5 Pro,Negamax4
claude3.7-sonnet P10,gemini-flash-2.0 P6,1,1,0,2,26,6.159059524536133,claude3.7-sonnet,gemini-flash-2.0
Negamax3 P8,gemini-flash-2.0 P6,2,0,0,2,15,5.318492650985718,Negamax3,gemini-flash-2.0
Gemma2 P8,o4-mini-high P8,0,2,0,2,41,12.483634948730469,Gemma2,o4-mini-high
Gemma2 P8,gpt4o P10,0,2,0,2,41,32.921471118927,Gemma2,gpt4o
gemini-pro-2.0 P6,r1 T0.25,2,0,0,2,23,7.0651466846466064,gemini-pro-2.0,r1
claude3.7-sonnet P10,claude3.7-sonnet P8,1,1,0,2,36,11.244521141052246,claude3.7-sonnet,claude3.7-sonnet
Negamax3 P8,Negamax4 P4 T0.25,0,2,0,2,65,4.447391033172607,Negamax3,Negamax4
LeChat P10,claude3.7-sonnet P8,1,1,0,2,50,19.704275131225586,LeChat,claude3.7-sonnet
Negamax2 P6,Negamax5B P10,0,2,0,2,61,17.092042684555054,Negamax2,Negamax5B
Negamax2 P6,Negamax5 P6,0,2,0,2,67,0.7420706748962402,Negamax2,Negamax5
LeChat P6,claude3.7-sonnet P8,1,1,0,2,54,8.009721040725708,LeChat,claude3.7-sonnet
gpt4o P8,r1 T0.25,1,0,1,2,53,25.221273183822632,gpt4o,r1
claude3.7-sonnet P10,claude3.7-sonnet-thinking P8,0,2,0,2,47,16.02344512939453,claude3.7-sonnet,claude3.7-sonnet-thinking
Negamax P6,Negamax5B P10,0,2,0,2,61,19.159727334976196,Negamax,Negamax5B
gemini-pro-2.0 P6,gemini-pro-2.0 P8,1,1,0,2,76,24.022669553756714,gemini-pro-2.0,gemini-pro-2.0
