Bot_Type,wins,losses,draws,total_moves,total_time,matches_played,count,win_rate,avg_moves_per_game,avg_time_per_move
DefaultBot,82,377,1,5544,1709.81121301651,115,1,0.1782608695652174,24.104347826086958,0.30840750595535893
Negamax,592,1150,98,43660,12153.933443069458,460,4,0.3217391304347826,47.45652173913044,0.27837685394112366
Negamax2,813,1318,169,56790,14549.400248527527,575,5,0.35347826086956524,49.38260869565217,0.25619651784693653
Negamax3,823,1303,174,58000,14606.613728284836,575,5,0.35782608695652174,50.43478260869565,0.2518381677290489
Negamax4,4610,4426,1084,288592,127926.01771259308,2530,22,0.45553359683794464,57.03399209486166,0.44327638227183386
Negamax5,6510,4290,1620,353300,164351.18097686768,3105,27,0.5241545893719807,56.892109500805155,0.46518873755128126
Negamax5B,8600,1033,2787,361853,127575.2324590683,3105,27,0.6924315619967794,58.26940418679549,0.35256093623396323
NeuralBot,1631,9355,54,163955,44989.39912939072,2760,24,0.14773550724637682,29.701992753623188,0.2744008973766626
RandomBot,25,434,1,6704,1667.2764790058136,115,1,0.05434782608695652,29.14782608695652,0.24869875880158318
