Bot,wins,losses,draws,games_played,total_moves_in_games,total_time_in_games,type,depth,time_limit,neural_gen,mcts_iter,win_rate,loss_rate,draw_rate,avg_moves_per_game,avg_time_per_game
Default Bot,36,336,2,374,4730,979.6200308799744,DefaultBot,,,,,0.0962566844919786,0.8983957219251337,0.0053475935828877,12.647058823529411,2.619304895401001
Gemini2.5 Flash Thinking P1,35,246,93,374,9326,998.5824851989746,Gemini2.5 Flash Thinking,1.0,,,2.0,0.09358288770053476,0.6577540106951871,0.24866310160427807,24.93582887700535,2.6700066449170445
Gemini2.5 Flash Thinking P2,95,195,84,374,9747,1163.004674911499,Gemini2.5 Flash Thinking,2.0,,,2.0,0.2540106951871658,0.5213903743315508,0.22459893048128343,26.06149732620321,3.1096381682125642
Gemini2.5 Flash Thinking P4,69,219,86,374,9410,943.3081521987915,Gemini2.5 Flash Thinking,4.0,,,2.0,0.18449197860962566,0.5855614973262032,0.22994652406417113,25.16042780748663,2.5222143106919557
Gemini2.5 Flash Thinking P6,75,279,20,374,8171,1575.502376317978,Gemini2.5 Flash Thinking,6.0,,,2.0,0.20053475935828877,0.7459893048128342,0.053475935828877004,21.8475935828877,4.212573198711171
Gemini2.5 Flash Thinking P8,85,201,88,374,9260,1848.0875024795532,Gemini2.5 Flash Thinking,8.0,,,2.0,0.22727272727272727,0.5374331550802139,0.23529411764705882,24.759358288770052,4.941410434437308
Gemini2.5 Pro P1,118,255,1,374,5501,980.0442216396332,Gemini2.5 Pro,1.0,,,2.0,0.3155080213903743,0.6818181818181818,0.00267379679144385,14.70855614973262,2.6204390952931367
Gemini2.5 Pro P2,257,87,30,374,11291,1144.3438305854797,Gemini2.5 Pro,2.0,,,2.0,0.6871657754010695,0.232620320855615,0.08021390374331551,30.189839572192515,3.0597428625280205
Gemini2.5 Pro P4,258,86,30,374,10055,1705.986396074295,Gemini2.5 Pro,4.0,,,2.0,0.6898395721925134,0.22994652406417113,0.08021390374331551,26.885026737967916,4.561460952070307
Gemini2.5 Pro P4 T0.01,245,112,17,374,9910,1297.684564590454,Gemini2.5 Pro,4.0,0.01,,2.0,0.6550802139037433,0.2994652406417112,0.045454545454545456,26.497326203208555,3.469744825108166
Gemini2.5 Pro P4 T0.025,215,134,25,374,9113,1156.2364268302917,Gemini2.5 Pro,4.0,0.025,,2.0,0.5748663101604278,0.3582887700534759,0.06684491978609626,24.36631016042781,3.091541248209336
Gemini2.5 Pro P4 T0.1,259,94,21,374,9772,1290.4269638061523,Gemini2.5 Pro,4.0,0.1,,2.0,0.6925133689839572,0.25133689839572193,0.05614973262032086,26.128342245989305,3.4503394754175196
Gemini2.5 Pro P4 T0.25,261,77,36,374,10228,1593.1908757686615,Gemini2.5 Pro,4.0,0.25,,2.0,0.6978609625668449,0.20588235294117646,0.0962566844919786,27.3475935828877,4.259868651787865
Gemini2.5 Pro P6,305,53,16,374,9739,2834.4147741794586,Gemini2.5 Pro,6.0,,,2.0,0.8155080213903744,0.14171122994652408,0.0427807486631016,26.040106951871657,7.578649128822082
Gemini2.5 Pro P6 T0.01,244,118,12,374,10037,1172.5293745994568,Gemini2.5 Pro,6.0,0.01,,2.0,0.6524064171122995,0.3155080213903743,0.03208556149732621,26.836898395721924,3.135105279677692
Gemini2.5 Pro P6 T0.025,228,135,11,374,8915,1031.8405587673187,Gemini2.5 Pro,6.0,0.025,,2.0,0.6096256684491979,0.3609625668449198,0.029411764705882353,23.836898395721924,2.7589319753136863
Gemini2.5 Pro P6 T0.1,257,99,18,374,9664,1704.148449420929,Gemini2.5 Pro,6.0,0.1,,2.0,0.6871657754010695,0.2647058823529412,0.0481283422459893,25.83957219251337,4.556546656205692
Gemini2.5 Pro P6 T0.25,278,80,16,374,9573,2115.0419652462006,Gemini2.5 Pro,6.0,0.25,,2.0,0.7433155080213903,0.21390374331550802,0.0427807486631016,25.59625668449198,5.655192420444386
Gemma2 P1,50,318,6,374,7681,1085.2803170681,Gemma2,1.0,,,,0.13368983957219252,0.8502673796791443,0.016042780748663103,20.537433155080215,2.90181902959385
Gemma2 P2,41,328,5,374,7099,918.5705840587616,Gemma2,2.0,,,,0.10962566844919786,0.8770053475935828,0.013368983957219251,18.981283422459892,2.45607108037102
Gemma2 P4,52,318,4,374,7344,1964.5969004631042,Gemma2,4.0,,,,0.13903743315508021,0.8502673796791443,0.0106951871657754,19.636363636363637,5.252932888938782
Gemma2 P6,62,306,6,374,7482,2320.534278154373,Gemma2,6.0,,,,0.1657754010695187,0.8181818181818182,0.016042780748663103,20.005347593582886,6.2046371073646345
Gemma2 P8,73,300,1,374,7615,4781.428171873093,Gemma2,8.0,,,,0.19518716577540107,0.8021390374331551,0.00267379679144385,20.36096256684492,12.78456730447351
LeChat P1,103,255,16,374,9075,1066.5465030670166,LeChat,1.0,,,,0.27540106951871657,0.6818181818181818,0.0427807486631016,24.264705882352942,2.8517286178262475
LeChat P10,169,173,32,374,9044,3240.5921840667725,LeChat,10.0,,,,0.45187165775401067,0.4625668449197861,0.0855614973262032,24.181818181818183,8.664684984135755
LeChat P2,116,237,21,374,8788,1107.1578736305237,LeChat,2.0,,,,0.31016042780748665,0.6336898395721925,0.05614973262032086,23.497326203208555,2.96031517013509
LeChat P4,148,198,28,374,9873,1261.1508011817932,LeChat,4.0,,,,0.39572192513368987,0.5294117647058824,0.0748663101604278,26.398395721925134,3.3720609657267198
LeChat P6,163,190,21,374,9939,2128.203116416931,LeChat,6.0,,,,0.4358288770053476,0.5080213903743316,0.05614973262032086,26.574866310160427,5.6903826642163935
LeChat P8,163,188,23,374,9926,2214.944499015808,LeChat,8.0,,,,0.4358288770053476,0.5026737967914439,0.06149732620320856,26.540106951871657,5.922311494694674
Negamax P1,43,331,0,374,5372,960.3175308704376,Negamax,1.0,,,,0.11497326203208556,0.8850267379679144,0.0,14.363636363636363,2.5676939328086568
Negamax P2,83,278,13,374,8755,1548.9458241462708,Negamax,2.0,,,,0.22192513368983957,0.7433155080213903,0.034759358288770054,23.40909090909091,4.141566374722649
Negamax P4,123,229,22,374,10126,1253.3896820545197,Negamax,4.0,,,,0.32887700534759357,0.6122994652406417,0.058823529411764705,27.074866310160427,3.351309310306202
Negamax P6,149,194,31,374,10475,3323.197865009308,Negamax,6.0,,,,0.3983957219251337,0.5187165775401069,0.08288770053475936,28.00802139037433,8.88555578879494
Negamax2 P1,41,332,1,374,5441,944.8383364677429,Negamax2,1.0,,,,0.10962566844919786,0.8877005347593583,0.00267379679144385,14.54812834224599,2.526305712480596
Negamax2 P2,98,268,8,374,8691,992.8766529560089,Negamax2,2.0,,,,0.2620320855614973,0.7165775401069518,0.0213903743315508,23.237967914438503,2.654750408973286
Negamax2 P4,118,232,24,374,9911,1223.6505756378174,Negamax2,4.0,,,,0.3155080213903743,0.6203208556149733,0.06417112299465241,26.5,3.2717929829888166
Negamax2 P6,148,197,29,374,10559,1768.3579890727997,Negamax2,6.0,,,,0.39572192513368987,0.5267379679144385,0.07754010695187166,28.232620320855617,4.728229917306951
Negamax2 P8,169,173,32,374,10828,3523.267315864563,Negamax2,8.0,,,,0.45187165775401067,0.4625668449197861,0.0855614973262032,28.951871657754012,9.420500844557655
Negamax3 P1,36,335,3,374,5524,830.9813249111176,Negamax3,1.0,,,,0.0962566844919786,0.8957219251336899,0.008021390374331552,14.770053475935828,2.221875200297106
Negamax3 P2,96,269,9,374,8792,1445.2120113372803,Negamax3,2.0,,,,0.25668449197860965,0.7192513368983957,0.02406417112299465,23.50802139037433,3.864203238869733
Negamax3 P4,130,220,24,374,10172,1115.2825994491577,Negamax3,4.0,,,,0.34759358288770054,0.5882352941176471,0.06417112299465241,27.197860962566846,2.9820390359603146
Negamax3 P6,137,216,21,374,10814,1317.6998240947723,Negamax3,6.0,,,,0.3663101604278075,0.5775401069518716,0.05614973262032086,28.914438502673796,3.5232615617507284
Negamax3 P8,167,177,30,374,11346,3692.885977268219,Negamax3,8.0,,,,0.446524064171123,0.4732620320855615,0.08021390374331551,30.336898395721924,9.874026677187752
Negamax4 P1,40,332,2,374,5497,928.3805522918701,Negamax4,1.0,,,,0.10695187165775401,0.8877005347593583,0.0053475935828877,14.697860962566844,2.482300941956872
Negamax4 P10,197,146,31,374,11623,14482.104582309723,Negamax4,10.0,,,,0.5267379679144385,0.39037433155080214,0.08288770053475936,31.077540106951872,38.722204765534016
Negamax4 P10 T0.01,195,149,30,374,11685,14414.028059244156,Negamax4,10.0,0.01,,,0.5213903743315508,0.3983957219251337,0.08021390374331551,31.24331550802139,38.54018197658865
Negamax4 P10 T0.025,192,152,30,374,11559,13726.128905534744,Negamax4,10.0,0.025,,,0.5133689839572193,0.40641711229946526,0.08021390374331551,30.906417112299465,36.70087942656349
Negamax4 P10 T0.1,175,157,42,374,11495,14193.554387569427,Negamax4,10.0,0.1,,,0.4679144385026738,0.4197860962566845,0.11229946524064172,30.735294117647058,37.95068018066692
Negamax4 P2,98,263,13,374,8980,1275.4554653167725,Negamax4,2.0,,,,0.2620320855614973,0.7032085561497327,0.034759358288770054,24.010695187165776,3.4103087307935094
Negamax4 P4,130,221,23,374,10180,1168.2962036132812,Negamax4,4.0,,,,0.34759358288770054,0.5909090909090909,0.06149732620320856,27.219251336898395,3.123786640677223
Negamax4 P4 T0.01,127,229,18,374,9985,1399.220918416977,Negamax4,4.0,0.01,,,0.339572192513369,0.6122994652406417,0.0481283422459893,26.697860962566846,3.7412324021844303
Negamax4 P4 T0.025,128,229,17,374,10226,1258.2076745033264,Negamax4,4.0,0.025,,,0.3422459893048128,0.6122994652406417,0.045454545454545456,27.342245989304814,3.3641916430570227
Negamax4 P4 T0.1,121,230,23,374,9938,1464.997641801834,Negamax4,4.0,0.1,,,0.3235294117647059,0.6149732620320856,0.06149732620320856,26.572192513368982,3.9171059941225512
Negamax4 P4 T0.25,126,231,17,374,10007,1309.714329957962,Negamax4,4.0,0.25,,,0.33689839572192515,0.6176470588235294,0.045454545454545456,26.75668449197861,3.501909973149631
Negamax4 P6,141,194,39,374,10844,1425.96479678154,Negamax4,6.0,,,,0.3770053475935829,0.5187165775401069,0.10427807486631016,28.994652406417114,3.8127400983463633
Negamax4 P6 T0.01,148,197,29,374,10768,1338.9991190433502,Negamax4,6.0,0.01,,,0.39572192513368987,0.5267379679144385,0.07754010695187166,28.79144385026738,3.580211548244252
Negamax4 P6 T0.025,150,197,27,374,10841,1523.3129251003265,Negamax4,6.0,0.025,,,0.40106951871657753,0.5267379679144385,0.07219251336898395,28.986631016042782,4.073029211498199
Negamax4 P6 T0.1,155,191,28,374,10632,1266.9926602840424,Negamax4,6.0,0.1,,,0.4144385026737968,0.5106951871657754,0.0748663101604278,28.427807486631018,3.387680909850381
Negamax4 P8,165,173,36,374,11243,2752.4683842658997,Negamax4,8.0,,,,0.4411764705882353,0.4625668449197861,0.0962566844919786,30.06149732620321,7.359541134400801
Negamax4 P8 T0.01,174,176,24,374,11262,2582.7525067329407,Negamax4,8.0,0.01,,,0.46524064171123,0.47058823529411764,0.06417112299465241,30.112299465240643,6.905755365596098
Negamax4 P8 T0.025,169,169,36,374,11170,2516.5125415325165,Negamax4,8.0,0.025,,,0.45187165775401067,0.45187165775401067,0.0962566844919786,29.86631016042781,6.728643159177851
Negamax4 P8 T0.1,171,171,32,374,11050,2432.4296967983246,Negamax4,8.0,0.1,,,0.4572192513368984,0.4572192513368984,0.0855614973262032,29.545454545454547,6.503822718712097
Negamax5 P1,51,322,1,374,5675,1003.861424446106,Negamax5,1.0,,,,0.13636363636363635,0.8609625668449198,0.00267379679144385,15.17379679144385,2.6841214557382513
Negamax5 P10,214,131,29,374,11181,4764.603405714035,Negamax5,10.0,,,,0.5721925133689839,0.3502673796791444,0.07754010695187166,29.89572192513369,12.739581298700628
Negamax5 P10 T0.01,195,142,37,374,11450,4561.864175081253,Negamax5,10.0,0.01,,,0.5213903743315508,0.37967914438502676,0.09893048128342247,30.614973262032084,12.1974977943349
