bot1,bot2,bot1_wins,bot2_wins,draws,total_games_in_match,total_moves,total_time,bot1_type,bot2_type
Negamax5 P8 T0.01,o3-mini-high-search I2000,2,0,0,2,29,5.328993558883667,Negamax5,o3-mini-high-search
Negamax3 P1,gemini-pro-2.0 P4,0,2,0,2,23,0.20099949836730957,Negamax3,gemini-pro-2.0
Gemma2 P1,same.dev P2,2,0,0,2,45,0.005000114440917969,Gemma2,same.dev
Random Bot,o3-mini-high-search I6000,0,2,0,2,57,5.9679930210113525,RandomBot,o3-mini-high-search
Negamax3 P2,o4-mini-high P10,0,2,0,2,57,1.6169979572296143,Negamax3,o4-mini-high
gpt4o P6 T0.1,o3-mini-high-search I2000,2,0,0,2,33,6.29899263381958,gpt4o,o3-mini-high-search
Negamax4 P6 T0.01,o3 P4,1,1,0,2,46,2.8979969024658203,Negamax4,o3
LeChat P4,claude3.7-sonnet P4,0,2,0,2,47,7.239991188049316,LeChat,claude3.7-sonnet
claude3.7-sonnet P2,o1 P6,2,0,0,2,41,7.4929914474487305,claude3.7-sonnet,o1
claude3.7-sonnet-thinking P6,gpt4o P10 T0.01,2,0,0,2,75,9.352107524871826,claude3.7-sonnet-thinking,gpt4o
Negamax P1,o4-mini-high P8,0,2,0,2,17,0.08500003814697266,Negamax,o4-mini-high
Negamax4 P2,o3-mini-high P2,0,2,0,2,43,0.03600001335144043,Negamax4,o3-mini-high
Negamax P4,r1 T0.01,2,0,0,2,39,9.626106977462769,Negamax,r1
r1 T0.01,same.dev P1,0,2,0,2,43,10.517106294631958,r1,same.dev
Negamax5B P8,o3-mini-high P1,2,0,0,2,45,0.9159986972808838,Negamax5B,o3-mini-high
QwQ P6,same.dev P6,1,1,0,2,46,10.547106266021729,QwQ,same.dev
Negamax P2,Negamax2 P4,0,2,0,2,35,0.04499983787536621,Negamax,Negamax2
Gemma2 P2,Negamax4 P6 T0.025,1,1,0,2,38,0.2969999313354492,Gemma2,Negamax4
claude3.7-sonnet-thinking P6,o3-mini-high P2,2,0,0,2,57,4.670994281768799,claude3.7-sonnet-thinking,o3-mini-high
Negamax4 P4 T0.25,gpt4o P4 T0.1,0,2,0,2,39,2.5169970989227295,Negamax4,gpt4o
Gemini2.5 Flash Thinking P4,gpt4o P2,0,2,0,2,47,11.920104742050171,Gemini2.5 Flash Thinking,gpt4o
Negamax4 P8 T0.1,gpt4o P4 T0.1,0,2,0,2,69,5.501993417739868,Negamax4,gpt4o
Gemini2.5 Pro P4 T0.025,Negamax5 P8 T0.1,0,2,0,2,35,1.6359977722167969,Gemini2.5 Pro,Negamax5
Gemini2.5 Pro P6 T0.1,gemini-flash-2.0 P2,1,1,0,2,56,2.137997627258301,Gemini2.5 Pro,gemini-flash-2.0
Negamax5B P8 T0.01,gemini-pro-2.0 P6,1,0,1,2,76,4.826993942260742,Negamax5B,gemini-pro-2.0
Negamax5 P4 T0.01,Negamax5 P6 T0.025,0,2,0,2,45,0.2499997615814209,Negamax5,Negamax5
Gemini2.5 Pro P1,Negamax5 P10 T0.025,0,2,0,2,41,11.379109621047974,Gemini2.5 Pro,Negamax5
Negamax4 P8 T0.1,QwQ P2,0,2,0,2,71,2.396080493927002,Negamax4,QwQ
gemini-flash-2.0 P2,gpt4o P8,0,2,0,2,37,11.63198471069336,gemini-flash-2.0,gpt4o
Negamax P6,Negamax3 P6,1,0,1,2,81,7.478990793228149,Negamax,Negamax3
Negamax5B P10 T0.01,o1 P1,2,0,0,2,51,6.678991794586182,Negamax5B,o1
Negamax5B P4 T0.01,gemini-pro-2.0 P4,2,0,0,2,81,0.5939993858337402,Negamax5B,gemini-pro-2.0
claude3.7-sonnet-thinking P1,o3-mini-high-search I3000,2,0,0,2,33,4.5769944190979,claude3.7-sonnet-thinking,o3-mini-high-search
Negamax4 P10,Negamax5B P1,2,0,0,2,31,13.336983919143677,Negamax4,Negamax5B
Negamax5 P1,Negamax5 P6 T0.025,0,2,0,2,39,0.2759995460510254,Negamax5,Negamax5
Negamax P4,Negamax5 P6 T0.01,0,2,0,2,61,0.5849995613098145,Negamax,Negamax5
Negamax4 P4,o4-mini-high P12,0,2,0,2,57,15.489100456237793,Negamax4,o4-mini-high
Negamax5B P4 T0.01,o3 P10,2,0,0,2,55,11.827985525131226,Negamax5B,o3
Negamax2 P8,claude3.7-sonnet P10,1,1,0,2,56,16.02609944343567,Negamax2,claude3.7-sonnet
Gemma2 P1,o4-mini-high P1,2,0,0,2,45,0.006000518798828125,Gemma2,o4-mini-high
LeChat P6,QwQ P2,1,1,0,2,68,0.7099995613098145,LeChat,QwQ
claude3.7-sonnet-thinking P4,gpt4o P4,0,2,0,2,63,15.3569815158844,claude3.7-sonnet-thinking,gpt4o
Negamax5 P4 T0.025,QwQ P6,0,2,0,2,59,15.413981437683105,Negamax5,QwQ
Negamax P6,Negamax5B P10,0,2,0,2,67,13.416983604431152,Negamax,Negamax5B
gemini-flash-2.0 P1,r1 T0.5,0,2,0,2,61,15.528981924057007,gemini-flash-2.0,r1
Negamax5B P6,gpt4o P10,1,1,0,2,76,17.25397825241089,Negamax5B,gpt4o
Negamax4 P4 T0.1,o3-mini-high-search I6000,2,0,0,2,33,4.640994548797607,Negamax4,o3-mini-high-search
Negamax4 P1,Negamax5 P10,0,2,0,2,33,11.863985538482666,Negamax4,Negamax5
Negamax P1,o3-mini-high P1,2,0,0,2,47,0.012000083923339844,Negamax,o3-mini-high
Gemma2 P6,gpt4o P8 T0.01,0,2,0,2,47,3.2569963932037354,Gemma2,gpt4o
LeChat P8,Negamax5 P4 T0.025,2,0,0,2,55,5.244993209838867,LeChat,Negamax5
Gemini2.5 Flash Thinking P4,Negamax4 P8,1,1,0,2,54,2.912997007369995,Gemini2.5 Flash Thinking,Negamax4
Gemini2.5 Flash Thinking P4,Negamax P6,0,1,1,2,49,5.547993421554565,Gemini2.5 Flash Thinking,Negamax
Gemma2 P4,Negamax5 P10 T0.025,0,2,0,2,31,13.56998348236084,Gemma2,Negamax5
Negamax3 P2,gpt4o P4 T0.01,0,2,0,2,45,0.35401153564453125,Negamax3,gpt4o
Negamax2 P4,gpt4o P6,0,2,0,2,75,17.56497883796692,Negamax2,gpt4o
Negamax5B P8,o3 P4,2,0,0,2,43,6.936991453170776,Negamax5B,o3
Gemma2 P6,gemini-flash-2.0 P6,0,2,0,2,37,4.4519946575164795,Gemma2,gemini-flash-2.0
Negamax4 P4 T0.1,Qwen3 P2,1,1,0,2,44,0.06199979782104492,Negamax4,Qwen3
Gemini2.5 Pro P6 T0.1,gpt4o P10 T0.01,1,0,1,2,51,5.99399209022522,Gemini2.5 Pro,gpt4o
Gemma2 P4,gemini-flash-2.0-thinking P1,1,1,0,2,36,0.18499970436096191,Gemma2,gemini-flash-2.0-thinking
Negamax3 P4,claude3.7-sonnet P10,0,2,0,2,37,5.102993488311768,Negamax3,claude3.7-sonnet
Negamax4 P4 T0.025,gpt4o P8 T0.1,0,2,0,2,41,2.981996774673462,Negamax4,gpt4o
Negamax5 P8,o3 P4,2,0,0,2,59,7.151991605758667,Negamax5,o3
Negamax P2,o3-mini-high P6,0,2,0,2,29,5.697993040084839,Negamax,o3-mini-high
gemini-flash-2.0 P1,o4-mini-high P12,0,2,0,2,17,4.911993980407715,gemini-flash-2.0,o4-mini-high
Negamax5B P10 T0.01,gemini-flash-2.0 P4,2,0,0,2,71,6.964991569519043,Negamax5B,gemini-flash-2.0
Negamax4 P6,claude3.7-sonnet P8,0,2,0,2,37,5.234993934631348,Negamax4,claude3.7-sonnet
Negamax5 P10 T0.01,Negamax5 P6 T0.1,1,0,1,2,82,14.20098352432251,Negamax5,Negamax5
Negamax P4,o3 P8,1,1,0,2,44,8.365301370620728,Negamax,o3
Negamax5 P4,r1 T0.5,2,0,0,2,31,7.54203724861145,Negamax5,r1
Negamax P6,QwQ P6,0,2,0,2,63,20.629732608795166,Negamax,QwQ
Negamax5 P6 T0.1,o4-mini-high P2,1,1,0,2,64,0.19763660430908203,Negamax5,o4-mini-high
o1 P8,o3-mini-high-search I1000,2,0,0,2,39,25.394427061080933,o1,o3-mini-high-search
Gemini2.5 Pro P6 T0.25,gemini-pro-2.0 P4,1,1,0,2,62,5.627349138259888,Gemini2.5 Pro,gemini-pro-2.0
Negamax4 P4,gpt4o P6 T0.025,0,2,0,2,49,0.7513570785522461,Negamax4,gpt4o
claude3.7-sonnet P10,gemini-pro-2.0 P4,2,0,0,2,59,9.69275975227356,claude3.7-sonnet,gemini-pro-2.0
Negamax4 P10,Negamax5B P6 T0.025,0,2,0,2,75,17.680352449417114,Negamax4,Negamax5B
Negamax5B P6 T0.025,claude3.7-sonnet P8,1,1,0,2,74,9.651573181152344,Negamax5B,claude3.7-sonnet
Negamax P2,gpt4o P4 T0.1,0,2,0,2,43,2.263843536376953,Negamax,gpt4o
Gemma2 P8,gemini-flash-2.0 P1,2,0,0,2,27,7.8010454177856445,Gemma2,gemini-flash-2.0
Gemma2 P4,QwQ P6,0,2,0,2,25,10.950787782669067,Gemma2,QwQ
Negamax5 P4,o4-mini-high P10,0,2,0,2,45,1.2799279689788818,Negamax5,o4-mini-high
claude3.7-sonnet P10,o3 P1,2,0,0,2,31,6.346239805221558,claude3.7-sonnet,o3
gemini-flash-2.0-thinking P1,o3 P10,0,2,0,2,27,5.848720550537109,gemini-flash-2.0-thinking,o3
Gemini2.5 Pro P4,Negamax P6,2,0,0,2,41,5.792306900024414,Gemini2.5 Pro,Negamax
Negamax5B P2,Negamax5B P8 T0.01,0,1,1,2,61,1.1061899662017822,Negamax5B,Negamax5B
Negamax4 P1,QwQ P6,0,2,0,2,31,8.748260974884033,Negamax4,QwQ
gemini-flash-2.0 P6,gemini-pro-2.0 P8,0,2,0,2,19,8.529399633407593,gemini-flash-2.0,gemini-pro-2.0
gemini-pro-2.0 P6,o1 P4,1,1,0,2,58,3.686917304992676,gemini-pro-2.0,o1
QwQ P6,o3 P6,2,0,0,2,43,17.086580991744995,QwQ,o3
o3 P8,o3-mini-high-search I1000,2,0,0,2,27,8.747630596160889,o3,o3-mini-high-search
Qwen3 P6,gemini-flash-2.0-thinking P8,0,2,0,2,43,28.058309316635132,Qwen3,gemini-flash-2.0-thinking
Negamax4 P2,o1 P4,1,1,0,2,58,0.3903820514678955,Negamax4,o1
Negamax5 P10 T0.025,gemini-pro-2.0 P8,0,2,0,2,73,25.836687803268433,Negamax5,gemini-pro-2.0
Gemini2.5 Pro P6 T0.01,o4-mini-high P4,1,1,0,2,78,0.3485538959503174,Gemini2.5 Pro,o4-mini-high
Gemini2.5 Flash Thinking P6,Gemma2 P8,1,1,0,2,48,13.11181378364563,Gemini2.5 Flash Thinking,Gemma2
Negamax5 P6 T0.025,Negamax5B P10 T0.1,0,2,0,2,67,11.622311353683472,Negamax5,Negamax5B
Gemini2.5 Flash Thinking P1,o4-mini-high P2,0,1,1,2,57,0.017034053802490234,Gemini2.5 Flash Thinking,o4-mini-high
Gemini2.5 Flash Thinking P2,Negamax4 P6,2,0,0,2,65,0.392956018447876,Gemini2.5 Flash Thinking,Negamax4
claude3.7-sonnet P8,o3-mini-high P6,1,1,0,2,82,15.346906900405884,claude3.7-sonnet,o3-mini-high
Gemini2.5 Pro P4 T0.1,gpt4o P10 T0.025,2,0,0,2,77,7.705502986907959,Gemini2.5 Pro,gpt4o
o1 P2,o1 P8,0,2,0,2,35,16.223428964614868,o1,o1
r1 T0.01,r1 T0.1,1,1,0,2,30,15.028931856155396,r1,r1
Negamax5B P10,o4-mini-high P2,1,0,1,2,53,5.859217643737793,Negamax5B,o4-mini-high
Gemini2.5 Pro P6 T0.25,Negamax P1,2,0,0,2,21,2.0274031162261963,Gemini2.5 Pro,Negamax
Gemini2.5 Pro P6 T0.1,o1 P6,2,0,0,2,45,6.244446039199829,Gemini2.5 Pro,o1
claude3.7-sonnet P1,gpt4o P6,0,2,0,2,61,22.840696334838867,claude3.7-sonnet,gpt4o
Negamax2 P2,gpt4o P4,0,2,0,2,61,16.840461254119873,Negamax2,gpt4o
Negamax5 P6 T0.01,r1 T0.5,2,0,0,2,37,9.570369720458984,Negamax5,r1
claude3.7-sonnet P8,r1 T0.5,2,0,0,2,27,11.164570093154907,claude3.7-sonnet,r1
gpt4o P8,o1 P4,2,0,0,2,53,17.42488718032837,gpt4o,o1
Negamax5 P6 T0.025,Negamax5B P8 T0.025,0,2,0,2,75,3.53635835647583,Negamax5,Negamax5B
Negamax4 P10 T0.025,gemini-pro-2.0 P1,2,0,0,2,31,25.54254961013794,Negamax4,gemini-pro-2.0
Gemma2 P2,Negamax3 P6,0,2,0,2,47,1.0755233764648438,Gemma2,Negamax3
Negamax5 P8,claude3.7-sonnet P6,0,2,0,2,65,12.804700374603271,Negamax5,claude3.7-sonnet
gemini-pro-2.0 P2,gpt4o P8 T0.025,0,2,0,2,45,2.881037950515747,gemini-pro-2.0,gpt4o
Negamax5 P2,Negamax5B P8 T0.01,0,2,0,2,53,1.8929460048675537,Negamax5,Negamax5B
Qwen3 P2,claude3.7-sonnet P1,1,1,0,2,38,5.61744236946106,Qwen3,claude3.7-sonnet
claude3.7-sonnet-thinking P2,gpt4o P1,1,1,0,2,24,7.118069887161255,claude3.7-sonnet-thinking,gpt4o
claude3.7-sonnet-thinking P6,o3 P1,2,0,0,2,41,8.051605224609375,claude3.7-sonnet-thinking,o3
Negamax2 P1,Negamax5 P6 T0.025,0,2,0,2,31,0.28705501556396484,Negamax2,Negamax5
Negamax2 P8,gpt4o P4 T0.01,0,2,0,2,73,6.928569793701172,Negamax2,gpt4o
LeChat P8,Negamax5B P4,1,1,0,2,70,4.048782587051392,LeChat,Negamax5B
Negamax5B P1,o3 P4,0,2,0,2,19,1.5534510612487793,Negamax5B,o3
o3-mini-high-search I1000,r1 T0.1,1,1,0,2,40,16.515401124954224,o3-mini-high-search,r1
Negamax5 P10 T0.1,gemini-pro-2.0 P1,2,0,0,2,47,9.80137324333191,Negamax5,gemini-pro-2.0
Negamax5B P8 T0.1,gpt4o P4 T0.1,1,0,1,2,83,5.270849227905273,Negamax5B,gpt4o
Negamax5B P8,gemini-pro-2.0 P4,2,0,0,2,81,2.4813644886016846,Negamax5B,gemini-pro-2.0
Gemini2.5 Flash Thinking P1,gemini-flash-2.0-thinking P1,1,1,0,2,62,0.039566993713378906,Gemini2.5 Flash Thinking,gemini-flash-2.0-thinking
Negamax5 P8 T0.1,same.dev P2,2,0,0,2,49,1.1107594966888428,Negamax5,same.dev
Negamax P1,Negamax5 P8 T0.1,0,2,0,2,31,0.8631918430328369,Negamax,Negamax5
o1 P1,o3-mini-high-search I6000,2,0,0,2,67,14.233989715576172,o1,o3-mini-high-search
Negamax3 P8,Negamax4 P8 T0.025,2,0,0,2,63,14.736392974853516,Negamax3,Negamax4
Negamax5 P1,gemini-flash-2.0-thinking P2,0,2,0,2,31,0.04756760597229004,Negamax5,gemini-flash-2.0-thinking
gemini-flash-2.0 P8,o3-mini-high-search I4000,2,0,0,2,49,14.709589004516602,gemini-flash-2.0,o3-mini-high-search
Gemini2.5 Pro P6,Negamax3 P6,2,0,0,2,53,9.484126091003418,Gemini2.5 Pro,Negamax3
Negamax4 P8 T0.025,o3-mini-high-search I5000,2,0,0,2,23,4.081176996231079,Negamax4,o3-mini-high-search
Negamax2 P4,o3-mini-high-search I1000,2,0,0,2,23,4.391896486282349,Negamax2,o3-mini-high-search
Negamax5 P2,gpt4o P6 T0.1,0,2,0,2,37,2.039804697036743,Negamax5,gpt4o
Gemini2.5 Pro P6 T0.25,Negamax5B P8 T0.01,2,0,0,2,75,6.337565660476685,Gemini2.5 Pro,Negamax5B
Negamax4 P10,o1 P2,1,0,1,2,70,37.46871089935303,Negamax4,o1
Negamax5B P10 T0.1,r1 T0.1,2,0,0,2,41,17.03705620765686,Negamax5B,r1
Gemini2.5 Pro P2,Gemini2.5 Pro P4 T0.1,1,1,0,2,82,2.10288667678833,Gemini2.5 Pro,Gemini2.5 Pro
Gemini2.5 Pro P6,LeChat P8,1,1,0,2,70,11.037159442901611,Gemini2.5 Pro,LeChat
Negamax4 P10,Qwen3 P4,2,0,0,2,35,39.544148683547974,Negamax4,Qwen3
QwQ P4,gpt4o P2,2,0,0,2,57,20.280304193496704,QwQ,gpt4o
Negamax4 P4 T0.1,Negamax5B P10 T0.025,0,2,0,2,71,8.818440437316895,Negamax4,Negamax5B
Gemini2.5 Pro P6 T0.25,o3-mini-high P2,1,1,0,2,58,4.633648633956909,Gemini2.5 Pro,o3-mini-high
Negamax5B P8 T0.01,o3-mini-high-search I4000,2,0,0,2,51,7.752004146575928,Negamax5B,o3-mini-high-search
claude3.7-sonnet-thinking P1,gemini-flash-2.0-thinking P2,2,0,0,2,33,0.060914039611816406,claude3.7-sonnet-thinking,gemini-flash-2.0-thinking
Negamax4 P8 T0.025,Negamax5 P8,1,1,0,2,80,5.605865240097046,Negamax4,Negamax5
Negamax5 P8 T0.025,same.dev P2,2,0,0,2,49,1.6098432540893555,Negamax5,same.dev
Gemma2 P8,gpt4o P2,0,2,0,2,41,25.667958736419678,Gemma2,gpt4o
Gemini2.5 Pro P6,LeChat P6,2,0,0,2,57,6.895771503448486,Gemini2.5 Pro,LeChat
LeChat P4,Negamax4 P4 T0.025,1,1,0,2,66,0.3117523193359375,LeChat,Negamax4
o1 P6,o4-mini-high P6,0,1,1,2,82,3.3303444385528564,o1,o4-mini-high
Negamax3 P1,r1 T0.5,0,2,0,2,59,15.014302968978882,Negamax3,r1
Negamax5 P4 T0.025,o4-mini-high P12,0,2,0,2,53,16.98676896095276,Negamax5,o4-mini-high
Negamax4 P10,o3-mini-high-search I2000,2,0,0,2,41,39.250160455703735,Negamax4,o3-mini-high-search
Negamax4 P4 T0.25,gpt4o P8 T0.025,0,2,0,2,49,2.4573898315429688,Negamax4,gpt4o
Gemini2.5 Flash Thinking P4,o3 P4,1,1,0,2,40,2.735471725463867,Gemini2.5 Flash Thinking,o3
Negamax5 P6 T0.01,o3 P4,1,1,0,2,52,3.0424468517303467,Negamax5,o3
Gemini2.5 Pro P4 T0.25,Negamax2 P8,1,0,1,2,70,7.983895301818848,Gemini2.5 Pro,Negamax2
Negamax2 P2,Negamax5 P10 T0.025,0,2,0,2,45,7.917323350906372,Negamax2,Negamax5
Default Bot,o3-mini-high P2,0,2,0,2,17,0.024538278579711914,DefaultBot,o3-mini-high
Negamax4 P4 T0.25,o1 P4,0,1,1,2,67,0.7906060218811035,Negamax4,o1
Negamax4 P8 T0.01,gpt4o P10,0,2,0,2,65,24.56935691833496,Negamax4,gpt4o
Negamax5B P6 T0.01,same.dev P6,1,1,0,2,72,3.6238932609558105,Negamax5B,same.dev
Negamax5 P10 T0.1,r1 T0.01,2,0,0,2,49,20.31839084625244,Negamax5,r1
Negamax4 P4 T0.01,o3 P4,0,2,0,2,61,7.1269896030426025,Negamax4,o3
claude3.7-sonnet-thinking P1,o4-mini-high P12,0,2,0,2,57,9.35097074508667,claude3.7-sonnet-thinking,o4-mini-high
Negamax2 P8,gpt4o P10,0,2,0,2,49,21.08938980102539,Negamax2,gpt4o
Gemini2.5 Flash Thinking P1,Negamax4 P2,0,2,0,2,53,0.028591394424438477,Gemini2.5 Flash Thinking,Negamax4
Negamax4 P6 T0.1,o3-mini-high P1,2,0,0,2,57,0.3777945041656494,Negamax4,o3-mini-high
Negamax4 P6 T0.01,o4-mini-high P4,0,2,0,2,65,0.32160449028015137,Negamax4,o4-mini-high
gpt4o P10,o3-mini-high-search I1000,2,0,0,2,31,17.373340606689453,gpt4o,o3-mini-high-search
Negamax4 P2,Negamax5 P2,1,1,0,2,46,0.010520219802856445,Negamax4,Negamax5
QwQ P2,claude3.7-sonnet-thinking P4,1,1,0,2,42,0.7631282806396484,QwQ,claude3.7-sonnet-thinking
LeChat P10,Negamax4 P2,2,0,0,2,39,11.169195413589478,LeChat,Negamax4
Negamax5 P10 T0.025,o3-mini-high-search I4000,2,0,0,2,29,12.04717469215393,Negamax5,o3-mini-high-search
Gemma2 P2,Negamax4 P4 T0.1,0,2,0,2,45,0.09470939636230469,Gemma2,Negamax4
Gemini2.5 Pro P6 T0.025,Negamax5B P10,0,2,0,2,69,11.71025538444519,Gemini2.5 Pro,Negamax5B
gpt4o P10,o3-mini-high-search I3000,2,0,0,2,29,15.844873428344727,gpt4o,o3-mini-high-search
Gemini2.5 Pro P4 T0.01,same.dev P2,2,0,0,2,49,0.24016427993774414,Gemini2.5 Pro,same.dev
Negamax4 P8 T0.1,Negamax5 P1,2,0,0,2,33,2.912893295288086,Negamax4,Negamax5
Gemini2.5 Pro P4,gpt4o P8,0,1,1,2,77,19.434425830841064,Gemini2.5 Pro,gpt4o
Negamax4 P4 T0.1,gpt4o P2,0,2,0,2,43,12.798189163208008,Negamax4,gpt4o
LeChat P10,Negamax4 P4 T0.25,2,0,0,2,81,13.845937490463257,LeChat,Negamax4
Negamax2 P4,Negamax5B P8,0,2,0,2,59,2.064244508743286,Negamax2,Negamax5B
Gemini2.5 Pro P6 T0.1,gpt4o P6 T0.01,0,1,1,2,72,2.934041738510132,Gemini2.5 Pro,gpt4o
Negamax P4,Negamax5B P10 T0.025,0,2,0,2,75,7.432100296020508,Negamax,Negamax5B
Gemini2.5 Pro P6 T0.1,Negamax4 P1,2,0,0,2,21,0.8310525417327881,Gemini2.5 Pro,Negamax4
Negamax5 P6 T0.1,claude3.7-sonnet P1,1,1,0,2,66,8.384740829467773,Negamax5,claude3.7-sonnet
Negamax5B P8 T0.025,o3-mini-high P1,2,0,0,2,45,1.276416540145874,Negamax5B,o3-mini-high
Gemma2 P8,gemini-flash-2.0 P2,0,2,0,2,53,10.131494998931885,Gemma2,gemini-flash-2.0
gemini-flash-2.0-thinking P2,gpt4o P10 T0.1,1,1,0,2,50,11.30211877822876,gemini-flash-2.0-thinking,gpt4o
Gemma2 P2,Negamax5 P4 T0.1,0,2,0,2,57,0.10369992256164551,Gemma2,Negamax5
Negamax P1,Negamax5B P8 T0.1,0,2,0,2,15,0.5451934337615967,Negamax,Negamax5B
Negamax5B P8,gpt4o P4 T0.025,0,2,0,2,75,2.9092962741851807,Negamax5B,gpt4o
Negamax4 P10 T0.1,Negamax5B P8 T0.025,0,2,0,2,67,21.544743061065674,Negamax4,Negamax5B
Negamax5B P10,gemini-flash-2.0-thinking P6,2,0,0,2,57,14.287640810012817,Negamax5B,gemini-flash-2.0-thinking
Negamax2 P2,o4-mini-high P4,0,2,0,2,57,0.017131567001342773,Negamax2,o4-mini-high
Negamax5 P10 T0.025,Negamax5 P2,1,1,0,2,70,14.562509298324585,Negamax5,Negamax5
Gemini2.5 Pro P4 T0.1,Negamax4 P8,2,0,0,2,53,6.660939455032349,Gemini2.5 Pro,Negamax4
Negamax5 P10 T0.1,gemini-flash-2.0 P8,2,0,0,2,31,13.288119316101074,Negamax5,gemini-flash-2.0
