bot1,bot2,bot1_wins,bot2_wins,draws,total_games_in_match,total_moves,total_time,bot1_type,bot2_type
Qwen3 P1,gemini-flash-2.0 P1,2,0,0,2,17,0.0060002803802490234,Qwen3,gemini-flash-2.0
Negamax5 P4 T0.01,o3-mini-high P1,2,0,0,2,37,0.06599950790405273,Negamax5,o3-mini-high
Gemma2 P1,claude3.7-sonnet-thinking P1,0,2,0,2,23,0.011999845504760742,Gemma2,claude3.7-sonnet-thinking
Negamax P1,Negamax4 P4,0,2,0,2,47,0.0368802547454834,Negamax,Negamax4
Default Bot,Negamax5B P2,0,2,0,2,17,0.0019996166229248047,DefaultBot,Negamax5B
Gemini2.5 Pro P6 T0.01,Negamax5B P2,1,1,0,2,46,0.21570324897766113,Gemini2.5 Pro,Negamax5B
Negamax5 P6 T0.1,gemini-flash-2.0 P1,2,0,0,2,29,0.14619064331054688,Negamax5,gemini-flash-2.0
Negamax5B P4 T0.025,o3 P1,2,0,0,2,21,0.5273511409759521,Negamax5B,o3
Negamax4 P6 T0.1,o4-mini-high P6,0,2,0,2,73,0.34235167503356934,Negamax4,o4-mini-high
Gemini2.5 Pro P6 T0.01,gemini-pro-2.0 P2,2,0,0,2,75,0.4123518466949463,Gemini2.5 Pro,gemini-pro-2.0
Negamax4 P4 T0.25,gpt4o P6 T0.01,0,2,0,2,59,0.49535131454467773,Negamax4,gpt4o
Gemini2.5 Pro P4 T0.025,Negamax5 P4 T0.01,0,1,1,2,65,0.5555088520050049,Gemini2.5 Pro,Negamax5
Negamax5 P6,Negamax5B P6 T0.1,0,2,0,2,73,0.496213436126709,Negamax5,Negamax5B
Gemini2.5 Pro P4 T0.1,Negamax5B P6 T0.1,0,2,0,2,71,0.9836304187774658,Gemini2.5 Pro,Negamax5B
Gemini2.5 Flash Thinking P8,Negamax5 P2,0,2,0,2,51,1.2605295181274414,Gemini2.5 Flash Thinking,Negamax5
LeChat P1,Negamax5 P8,0,1,1,2,62,1.255570888519287,LeChat,Negamax5
Negamax4 P1,Negamax5B P4 T0.025,0,2,0,2,29,0.02200007438659668,Negamax4,Negamax5B
Negamax5 P8 T0.025,o4-mini-high P10,1,1,0,2,72,1.793116807937622,Negamax5,o4-mini-high
LeChat P1,Negamax5 P4 T0.1,1,1,0,2,58,0.05900001525878906,LeChat,Negamax5
Gemini2.5 Pro P4 T0.01,Negamax3 P1,2,0,0,2,33,0.16200041770935059,Gemini2.5 Pro,Negamax3
gemini-flash-2.0 P4,o1 P2,0,2,0,2,27,0.2579996585845947,gemini-flash-2.0,o1
QwQ P2,Random Bot,2,0,0,2,29,0.10699939727783203,QwQ,RandomBot
gemini-flash-2.0-thinking P2,o3 P1,2,0,0,2,15,0.5109994411468506,gemini-flash-2.0-thinking,o3
Gemini2.5 Pro P4 T0.025,Negamax2 P6,1,0,1,2,64,1.0049986839294434,Gemini2.5 Pro,Negamax2
Gemini2.5 Flash Thinking P8,o3 P1,2,0,0,2,31,3.0161147117614746,Gemini2.5 Flash Thinking,o3
Negamax P1,same.dev P1,0,2,0,2,15,0.0010001659393310547,Negamax,same.dev
Negamax5B P6 T0.1,gpt4o P6 T0.1,1,0,1,2,84,3.7801146507263184,Negamax5B,gpt4o
Negamax4 P6,o3-mini-high P6,0,2,0,2,47,3.730114459991455,Negamax4,o3-mini-high
Negamax5B P8 T0.01,gemini-pro-2.0 P2,2,0,0,2,57,1.5499985218048096,Negamax5B,gemini-pro-2.0
Negamax4 P8 T0.01,Negamax5 P6 T0.1,2,0,0,2,75,4.138113498687744,Negamax4,Negamax5
Negamax4 P8,Negamax5B P4 T0.1,0,2,0,2,59,2.1919968128204346,Negamax4,Negamax5B
gpt4o P4 T0.1,o3 P1,2,0,0,2,25,2.4689972400665283,gpt4o,o3
Gemini2.5 Flash Thinking P1,Negamax5 P8 T0.025,0,1,1,2,51,1.3669979572296143,Gemini2.5 Flash Thinking,Negamax5
Negamax5B P6 T0.01,gpt4o P10 T0.025,0,0,2,2,84,5.11111307144165,Negamax5B,gpt4o
Gemini2.5 Flash Thinking P8,gemini-flash-2.0-thinking P6,0,2,0,2,49,2.781996488571167,Gemini2.5 Flash Thinking,gemini-flash-2.0-thinking
Gemini2.5 Pro P2,Gemma2 P6,2,0,0,2,35,1.697997808456421,Gemini2.5 Pro,Gemma2
Gemini2.5 Pro P6 T0.25,LeChat P4,2,0,0,2,47,4.544994831085205,Gemini2.5 Pro,LeChat
Negamax5B P8,gemini-pro-2.0 P6,1,0,1,2,76,4.592994451522827,Negamax5B,gemini-pro-2.0
Negamax5 P2,Negamax5B P4,0,2,0,2,43,0.0280001163482666,Negamax5,Negamax5B
Negamax4 P4 T0.025,o4-mini-high P8,0,2,0,2,41,0.3449995517730713,Negamax4,o4-mini-high
claude3.7-sonnet-thinking P4,r1 T0.5,2,0,0,2,27,6.846110582351685,claude3.7-sonnet-thinking,r1
