match_participant_1,match_participant_2,game_in_match_id,player_O,player_X,winner,moves,time_seconds,game_global_id
Negamax5 P8 T0.025,o4-mini-high P10,1,o4-mini-high P10,Negamax5 P8 T0.025,o4-mini-high P10,33,0.6805870532989502,35
LeChat P1,Negamax5 P4 T0.1,0,Negamax5 P4 T0.1,LeChat P1,LeChat P1,28,0.0280001163482666,36
LeChat P1,Negamax5 P4 T0.1,1,LeChat P1,Negamax5 P4 T0.1,Negamax5 P4 T0.1,30,0.03099989891052246,37
Gemini2.5 Pro P4 T0.01,Negamax3 P1,0,Negamax3 P1,Gemini2.5 Pro P4 T0.01,Gemini2.5 Pro P4 T0.01,24,0.11900019645690918,38
Gemini2.5 Pro P4 T0.01,Negamax3 P1,1,Gemini2.5 Pro P4 T0.01,Negamax3 P1,Gemini2.5 Pro P4 T0.01,9,0.043000221252441406,39
gemini-flash-2.0 P4,o1 P2,0,gemini-flash-2.0 P4,o1 P2,o1 P2,20,0.18499994277954102,40
gemini-flash-2.0 P4,o1 P2,1,o1 P2,gemini-flash-2.0 P4,o1 P2,7,0.07299971580505371,41
QwQ P2,Random Bot,0,Random Bot,QwQ P2,QwQ P2,8,0.024999618530273438,42
QwQ P2,Random Bot,1,QwQ P2,Random Bot,QwQ P2,21,0.0819997787475586,43
gemini-flash-2.0-thinking P2,o3 P1,0,gemini-flash-2.0-thinking P2,o3 P1,gemini-flash-2.0-thinking P2,7,0.005000114440917969,44
gemini-flash-2.0-thinking P2,o3 P1,1,o3 P1,gemini-flash-2.0-thinking P2,gemini-flash-2.0-thinking P2,8,0.5059993267059326,45
Gemini2.5 Pro P4 T0.025,Negamax2 P6,0,Negamax2 P6,Gemini2.5 Pro P4 T0.025,Gemini2.5 Pro P4 T0.025,22,0.38699936866760254,46
Gemini2.5 Pro P4 T0.025,Negamax2 P6,1,Gemini2.5 Pro P4 T0.025,Negamax2 P6,draw,42,0.6179993152618408,47
Gemini2.5 Flash Thinking P8,o3 P1,0,Gemini2.5 Flash Thinking P8,o3 P1,Gemini2.5 Flash Thinking P8,23,2.1181159019470215,48
Gemini2.5 Flash Thinking P8,o3 P1,1,o3 P1,Gemini2.5 Flash Thinking P8,Gemini2.5 Flash Thinking P8,8,0.8979988098144531,49
Negamax P1,same.dev P1,0,Negamax P1,same.dev P1,same.dev P1,8,0.0,50
Negamax P1,same.dev P1,1,same.dev P1,Negamax P1,same.dev P1,7,0.0010001659393310547,51
Negamax5B P6 T0.1,gpt4o P6 T0.1,0,Negamax5B P6 T0.1,gpt4o P6 T0.1,draw,42,1.7671167850494385,52
Negamax5B P6 T0.1,gpt4o P6 T0.1,1,gpt4o P6 T0.1,Negamax5B P6 T0.1,Negamax5B P6 T0.1,42,2.01299786567688,53
Negamax4 P6,o3-mini-high P6,0,Negamax4 P6,o3-mini-high P6,o3-mini-high P6,32,2.640115737915039,54
Negamax4 P6,o3-mini-high P6,1,o3-mini-high P6,Negamax4 P6,o3-mini-high P6,15,1.089998722076416,55
Negamax5B P8 T0.01,gemini-pro-2.0 P2,0,Negamax5B P8 T0.01,gemini-pro-2.0 P2,Negamax5B P8 T0.01,39,0.669999361038208,56
Negamax5B P8 T0.01,gemini-pro-2.0 P2,1,gemini-pro-2.0 P2,Negamax5B P8 T0.01,Negamax5B P8 T0.01,18,0.8799991607666016,57
Negamax4 P8 T0.01,Negamax5 P6 T0.1,0,Negamax4 P8 T0.01,Negamax5 P6 T0.1,Negamax4 P8 T0.01,39,2.155116081237793,58
Negamax4 P8 T0.01,Negamax5 P6 T0.1,1,Negamax5 P6 T0.1,Negamax4 P8 T0.01,Negamax4 P8 T0.01,36,1.9829974174499512,59
Negamax4 P8,Negamax5B P4 T0.1,0,Negamax4 P8,Negamax5B P4 T0.1,Negamax5B P4 T0.1,34,1.3989980220794678,60
Negamax4 P8,Negamax5B P4 T0.1,1,Negamax5B P4 T0.1,Negamax4 P8,Negamax5B P4 T0.1,25,0.7929987907409668,61
gpt4o P4 T0.1,o3 P1,0,gpt4o P4 T0.1,o3 P1,gpt4o P4 T0.1,9,0.7690005302429199,62
gpt4o P4 T0.1,o3 P1,1,o3 P1,gpt4o P4 T0.1,gpt4o P4 T0.1,16,1.6999967098236084,63
Gemini2.5 Flash Thinking P1,Negamax5 P8 T0.025,0,Negamax5 P8 T0.025,Gemini2.5 Flash Thinking P1,Negamax5 P8 T0.025,9,0.24199938774108887,64
Gemini2.5 Flash Thinking P1,Negamax5 P8 T0.025,1,Gemini2.5 Flash Thinking P1,Negamax5 P8 T0.025,draw,42,1.1249985694885254,65
Negamax5B P6 T0.01,gpt4o P10 T0.025,0,Negamax5B P6 T0.01,gpt4o P10 T0.025,draw,42,2.4871160984039307,66
Negamax5B P6 T0.01,gpt4o P10 T0.025,1,gpt4o P10 T0.025,Negamax5B P6 T0.01,draw,42,2.6239969730377197,67
Gemini2.5 Flash Thinking P8,gemini-flash-2.0-thinking P6,0,gemini-flash-2.0-thinking P6,Gemini2.5 Flash Thinking P8,gemini-flash-2.0-thinking P6,7,0.7589988708496094,68
Gemini2.5 Flash Thinking P8,gemini-flash-2.0-thinking P6,1,Gemini2.5 Flash Thinking P8,gemini-flash-2.0-thinking P6,gemini-flash-2.0-thinking P6,42,2.0229976177215576,69
Gemini2.5 Pro P2,Gemma2 P6,0,Gemma2 P6,Gemini2.5 Pro P2,Gemini2.5 Pro P2,18,1.1199984550476074,70
Gemini2.5 Pro P2,Gemma2 P6,1,Gemini2.5 Pro P2,Gemma2 P6,Gemini2.5 Pro P2,17,0.5779993534088135,71
Gemini2.5 Pro P6 T0.25,LeChat P4,0,LeChat P4,Gemini2.5 Pro P6 T0.25,Gemini2.5 Pro P6 T0.25,30,2.802996873855591,72
Gemini2.5 Pro P6 T0.25,LeChat P4,1,Gemini2.5 Pro P6 T0.25,LeChat P4,Gemini2.5 Pro P6 T0.25,17,1.7419979572296143,73
Negamax5B P8,gemini-pro-2.0 P6,0,Negamax5B P8,gemini-pro-2.0 P6,draw,42,1.8639979362487793,74
Negamax5B P8,gemini-pro-2.0 P6,1,gemini-pro-2.0 P6,Negamax5B P8,Negamax5B P8,34,2.728996515274048,75
Negamax5 P2,Negamax5B P4,0,Negamax5 P2,Negamax5B P4,Negamax5B P4,18,0.01100015640258789,76
Negamax5 P2,Negamax5B P4,1,Negamax5B P4,Negamax5 P2,Negamax5B P4,25,0.01699995994567871,77
Negamax4 P4 T0.025,o4-mini-high P8,0,Negamax4 P4 T0.025,o4-mini-high P8,o4-mini-high P8,20,0.10600018501281738,78
Negamax4 P4 T0.025,o4-mini-high P8,1,o4-mini-high P8,Negamax4 P4 T0.025,o4-mini-high P8,21,0.2389993667602539,79
claude3.7-sonnet-thinking P4,r1 T0.5,0,claude3.7-sonnet-thinking P4,r1 T0.5,claude3.7-sonnet-thinking P4,7,1.5767910480499268,80
claude3.7-sonnet-thinking P4,r1 T0.5,1,r1 T0.5,claude3.7-sonnet-thinking P4,claude3.7-sonnet-thinking P4,20,5.269319534301758,81
Negamax5 P8 T0.01,o3-mini-high-search I2000,0,Negamax5 P8 T0.01,o3-mini-high-search I2000,Negamax5 P8 T0.01,21,3.2009963989257812,82
Negamax5 P8 T0.01,o3-mini-high-search I2000,1,o3-mini-high-search I2000,Negamax5 P8 T0.01,Negamax5 P8 T0.01,8,2.1279971599578857,83
Negamax3 P1,gemini-pro-2.0 P4,0,Negamax3 P1,gemini-pro-2.0 P4,gemini-pro-2.0 P4,16,0.17199993133544922,84
Negamax3 P1,gemini-pro-2.0 P4,1,gemini-pro-2.0 P4,Negamax3 P1,gemini-pro-2.0 P4,7,0.02899956703186035,85
Gemma2 P1,same.dev P2,0,same.dev P2,Gemma2 P1,Gemma2 P1,22,0.002000093460083008,86
Gemma2 P1,same.dev P2,1,Gemma2 P1,same.dev P2,Gemma2 P1,23,0.003000020980834961,87
Random Bot,o3-mini-high-search I6000,0,Random Bot,o3-mini-high-search I6000,o3-mini-high-search I6000,24,2.49399733543396,88
