Bot,Elo,Bot_Type,Depth,Time_Limit,Neural_Gen
o3-mini-high-search I4000,501.02900348941716,o3-mini-high-search,,,
gpt4o P8,1345.8814544272727,gpt4o,8.0,,
QwQ P4,1440.7025620822824,QwQ,4.0,,
LeChat P10,1099.8007199398858,LeChat,10.0,,
r1 T0.1,616.3170507673562,r1,,0.1,
r1 T1,556.3417049915672,r1,,1.0,
o3-mini-high P2,1271.1197925615702,o3-mini-high,2.0,,
gpt4o P10 T0.01,1032.2245917665252,gpt4o,10.0,0.01,
o1 P1,623.8869105134161,o1,1.0,,
gemini-flash-2.0-thinking P4,1171.0668073265165,gemini-flash-2.0-thinking,4.0,,
QwQ P6,1686.5647752808345,QwQ,6.0,,
gpt4o P4 T0.01,1346.7935391077463,gpt4o,4.0,0.01,
LeChat P8,1150.0929581197865,LeChat,8.0,,
LeChat P4,1083.413665583023,LeChat,4.0,,
o3-mini-high-search I5000,422.727417680999,o3-mini-high-search,,,
gpt4o P8 T0.025,1290.1337236994368,gpt4o,8.0,0.025,
gpt4o P6 T0.01,1428.4025106529893,gpt4o,6.0,0.01,
gpt4o P12,748.4396412052077,gpt4o,12.0,,
gpt4o P6,1388.1131904445047,gpt4o,6.0,,
LeChat P2,890.3999258310246,LeChat,2.0,,
claude3.7-sonnet-thinking P8,1591.0160863982805,claude3.7-sonnet-thinking,8.0,,
gemini-pro-2.0 P1,709.7883442490954,gemini-pro-2.0,1.0,,
r1 T0.25,607.0256703722287,r1,,0.25,
same.dev P2,913.2760166438661,same.dev,2.0,,
gemini-flash-2.0-thinking P1,370.3078020944972,gemini-flash-2.0-thinking,1.0,,
gpt4o P4 T0.025,1373.2816204322494,gpt4o,4.0,0.025,
gpt4o P6 T0.1,1434.2902636598908,gpt4o,6.0,0.1,
gpt4o P8 T0.25,1393.9643648915985,gpt4o,8.0,0.25,
same.dev P6,1280.5498056850874,same.dev,6.0,,
gemini-pro-2.0 P6,1340.1741507225252,gemini-pro-2.0,6.0,,
gpt4o P4,1387.0691990547994,gpt4o,4.0,,
LeChat P1,869.9840491904263,LeChat,1.0,,
gpt4o P8 T0.1,1425.877779398172,gpt4o,8.0,0.1,
LeChat P6,1005.7021467907632,LeChat,6.0,,
o3-mini-high-search I1000,537.001424788717,o3-mini-high-search,,,
r1 T0.025,695.0034159991353,r1,,0.025,
o1 P6,1077.994452734521,o1,6.0,,
claude3.7-sonnet-thinking P4,1385.4883366029821,claude3.7-sonnet-thinking,4.0,,
claude3.7-sonnet-thinking P1,1075.3105955828019,claude3.7-sonnet-thinking,1.0,,
gpt4o P12 T0.1,1259.4955864060967,gpt4o,12.0,0.1,
claude3.7-sonnet P8,1201.8705095161445,claude3.7-sonnet,8.0,,
gemini-pro-2.0 P8,1505.4867152768347,gemini-pro-2.0,8.0,,
gpt4o P8 T0.01,1288.6499457060595,gpt4o,8.0,0.01,
gpt4o P4 T0.1,1408.2015285024363,gpt4o,4.0,0.1,
Gemma3 P2,674.1209769361049,Gemma3,2.0,,
gpt4o P10 T0.1,1343.9869978103584,gpt4o,10.0,0.1,
gemini-flash-2.0 P6,864.3838338300277,gemini-flash-2.0,6.0,,
gpt4o P12 T0.025,951.9785195563061,gpt4o,12.0,0.025,
gpt4o P6 T0.025,1468.0710381750387,gpt4o,6.0,0.025,
Gemma3 P1,607.3388112328271,Gemma3,1.0,,
Gemma3 P4,554.4003374031222,Gemma3,4.0,,
gpt4o P12 T0.25,1181.7457991937058,gpt4o,12.0,0.25,
gemini-flash-2.0-thinking P6,1125.923821897237,gemini-flash-2.0-thinking,6.0,,
gemini-pro-2.0 P4,1235.2301699172917,gemini-pro-2.0,4.0,,
o3-mini-high P1,435.55166497391997,o3-mini-high,1.0,,
gpt4o P10 T0.25,1188.4621809686741,gpt4o,10.0,0.25,
gpt4o P10,1388.2384101691482,gpt4o,10.0,,
claude3.7-sonnet P2,1271.1047532444036,claude3.7-sonnet,2.0,,
QwQ P2,1323.9984468044,QwQ,2.0,,
claude3.7-sonnet P1,1157.622156848673,claude3.7-sonnet,1.0,,
o1 P8,1029.9035021239044,o1,8.0,,
Gemma3 P8,699.1960546887276,Gemma3,8.0,,
gemini-flash-2.0 P4,939.9640328522312,gemini-flash-2.0,4.0,,
same.dev P8,1115.7698385767826,same.dev,8.0,,
same.dev P1,897.1526646673788,same.dev,1.0,,
gpt4o P6 T0.25,1395.7089140124117,gpt4o,6.0,0.25,
gemini-flash-2.0 P8,855.6591774467697,gemini-flash-2.0,8.0,,
gemini-flash-2.0-thinking P8,1402.5714109136766,gemini-flash-2.0-thinking,8.0,,
claude3.7-sonnet P4,1192.5234058427532,claude3.7-sonnet,4.0,,
gpt4o P2,1204.6900802287855,gpt4o,2.0,,
claude3.7-sonnet P12,1316.6782957999023,claude3.7-sonnet,12.0,,
same.dev P4,1174.5981209569802,same.dev,4.0,,
o3-mini-high-search I2000,493.23548333242604,o3-mini-high-search,,,
claude3.7-sonnet P10,1279.1654807911373,claude3.7-sonnet,10.0,,
r1 T0.01,663.6754403730858,r1,,0.01,
o3-mini-high-search I6000,460.9190974961384,o3-mini-high-search,,,
o3-mini-high P6,1555.8651637636322,o3-mini-high,6.0,,
Gemma3 P6,734.2674850932867,Gemma3,6.0,,
o3-mini-high P4,1354.6750166123509,o3-mini-high,4.0,,
