Bot,wins,losses,draws,type,depth,time_limit,neural_gen,total_moves,total_time,matches_played
Negamax P1,84,566,0,Negamax,1.0,,,9125,2343.660680294037,210
Negamax P2,195,426,27,Negamax,2.0,,,15296,3213.91944026947,209
Negamax P4,242,373,33,Negamax,4.0,,,17171,3469.48925614357,209
Negamax P6,284,309,55,Negamax,6.0,,,18025,6390.3955500125885,209
Negamax2 P1,65,585,0,Negamax2,1.0,,,9248,2536.0510771274567,210
Negamax2 P2,198,427,23,Negamax2,2.0,,,15322,3237.602523326874,209
Negamax2 P4,261,339,48,Negamax2,4.0,,,17068,3105.308624267578,209
Negamax2 P6,295,296,57,Negamax2,6.0,,,17784,3926.4623413085938,209
Negamax2 P8,310,268,70,Negamax2,8.0,,,18350,5813.482298374176,209
Negamax3 P1,75,573,2,Negamax3,1.0,,,9143,2876.8643119335175,210
Negamax3 P2,202,416,30,Negamax3,2.0,,,15645,2952.726893424988,209
Negamax3 P4,246,366,36,Negamax3,4.0,,,17489,3469.7236034870148,209
Negamax3 P6,292,297,59,Negamax3,6.0,,,18331,3459.929770231247,209
Negamax3 P8,312,264,72,Negamax3,8.0,,,19027,6018.267063856125,209
Negamax4 P1,80,568,2,Negamax4,1.0,,,9167,2679.9390716552734,210
Negamax4 P2,203,425,22,Negamax4,2.0,,,15319,3275.562696456909,210
Negamax4 P4,247,352,51,Negamax4,4.0,,,17833,3211.6625711917877,210
Negamax4 P6,282,301,63,Negamax4,6.0,,,18395,3385.0579283237457,208
Negamax4 P8,325,253,72,Negamax4,8.0,,,19126,5227.6195333004,210
Negamax4 P10,360,199,91,Negamax4,10.0,,,19460,20687.65512919426,210
Negamax4 P4 T0.01,254,356,40,Negamax4,4.0,0.01,,17416,3159.4697983264923,210
Negamax4 P4 T0.025,251,347,52,Negamax4,4.0,0.025,,17713,3550.5850279331207,210
Negamax4 P4 T0.1,244,362,44,Negamax4,4.0,0.1,,17517,3903.5859060287476,210
Negamax4 P4 T0.25,250,348,52,Negamax4,4.0,0.25,,17797,2983.6172273159027,210
Negamax4 P6 T0.01,286,283,77,Negamax4,6.0,0.01,,18558,3702.8836295604706,208
Negamax4 P6 T0.025,258,321,67,Negamax4,6.0,0.025,,18541,3524.649389028549,208
Negamax4 P6 T0.1,279,315,52,Negamax4,6.0,0.1,,18240,3572.00643658638,208
Negamax4 P6 T0.25,280,307,59,Negamax4,6.0,0.25,,18343,3306.965666294098,208
Negamax4 P8 T0.01,311,267,72,Negamax4,8.0,0.01,,19299,5893.707360744476,210
Negamax4 P8 T0.025,304,269,77,Negamax4,8.0,0.025,,19389,5287.663434505463,210
Negamax4 P8 T0.1,323,263,64,Negamax4,8.0,0.1,,18721,4956.674665927887,210
Negamax4 P8 T0.25,316,278,56,Negamax4,8.0,0.25,,19078,4688.881748199463,210
Negamax4 P10 T0.01,344,230,76,Negamax4,10.0,0.01,,19524,21319.6335170269,210
Negamax4 P10 T0.025,356,225,69,Negamax4,10.0,0.025,,19488,19839.921712875366,210
Negamax4 P10 T0.1,363,221,66,Negamax4,10.0,0.1,,19521,20222.225997447968,210
Negamax4 P10 T0.25,345,222,83,Negamax4,10.0,0.25,,19828,18329.405353546143,210
Negamax5 P1,103,545,2,Negamax5,1.0,,,9949,2675.6058723926544,210
Negamax5 P2,236,373,41,Negamax5,2.0,,,15579,3203.909906387329,210
Negamax5 P4,279,299,72,Negamax5,4.0,,,17839,3572.6831583976746,210
Negamax5 P6,312,259,79,Negamax5,6.0,,,18524,3339.4748623371124,210
Negamax5 P8,349,216,85,Negamax5,8.0,,,18759,4115.877279758453,210
Negamax5 P10,367,217,66,Negamax5,10.0,,,18835,7939.493074417114,210
Negamax5 P12,405,163,82,Negamax5,12.0,,,19037,24700.720243930817,210
Negamax5 P4 T0.01,276,301,73,Negamax5,4.0,0.01,,17554,3160.1928400993347,210
Negamax5 P4 T0.025,270,313,67,Negamax5,4.0,0.025,,17847,3110.413185596466,210
Negamax5 P4 T0.1,286,289,75,Negamax5,4.0,0.1,,17882,2965.6411924362183,210
Negamax5 P4 T0.25,274,309,67,Negamax5,4.0,0.25,,17678,2857.314814567566,210
Negamax5 P6 T0.01,302,271,77,Negamax5,6.0,0.01,,18513,3033.5627999305725,210
Negamax5 P6 T0.025,302,264,84,Negamax5,6.0,0.025,,18339,3163.197108268738,210
Negamax5 P6 T0.1,314,277,59,Negamax5,6.0,0.1,,18365,2992.9039862155914,210
Negamax5 P6 T0.25,309,260,81,Negamax5,6.0,0.25,,18634,2981.0532886981964,210
Negamax5 P8 T0.01,351,213,86,Negamax5,8.0,0.01,,18738,3499.8844723701477,210
Negamax5 P8 T0.025,335,244,71,Negamax5,8.0,0.025,,19136,3673.5892057418823,210
Negamax5 P8 T0.1,347,232,71,Negamax5,8.0,0.1,,18803,4085.9240090847015,210
Negamax5 P8 T0.25,356,219,75,Negamax5,8.0,0.25,,18752,3988.9807920455933,210
Negamax5 P10 T0.01,376,201,73,Negamax5,10.0,0.01,,18796,7228.688272953033,210
Negamax5 P10 T0.025,353,208,89,Negamax5,10.0,0.025,,18896,7239.662359237671,210
Negamax5 P10 T0.1,366,205,79,Negamax5,10.0,0.1,,19016,7496.7947473526,210
Negamax5 P10 T0.25,373,198,79,Negamax5,10.0,0.25,,18965,7246.6428599357605,210
Negamax5 P12 T0.01,391,174,85,Negamax5,12.0,0.01,,19488,23645.969841241837,210
Negamax5 P12 T0.025,390,179,81,Negamax5,12.0,0.025,,19087,25763.00984120369,210
Negamax5 P12 T0.1,394,175,81,Negamax5,12.0,0.1,,19372,24992.366983413696,210
Negamax5 P12 T0.25,391,189,70,Negamax5,12.0,0.25,,19111,25628.483855724335,210
Negamax5B P1,142,465,43,Negamax5B,1.0,,,11807,2142.266255378723,210
Negamax5B P2,332,198,116,Negamax5B,2.0,,,16532,2399.2318012714386,208
Negamax5B P4,401,78,167,Negamax5B,4.0,,,19433,2717.4177429676056,208
Negamax5B P6,445,48,153,Negamax5B,6.0,,,19355,2915.393029689789,208
Negamax5B P8,447,68,131,Negamax5B,8.0,,,19440,2928.9015946388245,208
Negamax5B P10,452,29,167,Negamax5B,10.0,,,19647,5583.873552799225,209
Negamax5B P12,471,39,136,Negamax5B,12.0,,,19443,20807.387904644012,208
Negamax5B P4 T0.01,403,66,177,Negamax5B,4.0,0.01,,19582,2545.7497367858887,208
Negamax5B P4 T0.025,414,60,172,Negamax5B,4.0,0.025,,19545,2505.506716489792,208
Negamax5B P4 T0.1,416,70,160,Negamax5B,4.0,0.1,,19311,2539.909102201462,208
Negamax5B P4 T0.25,408,82,156,Negamax5B,4.0,0.25,,19557,2312.5699648857117,208
Negamax5B P6 T0.01,439,54,153,Negamax5B,6.0,0.01,,19534,2615.126042842865,208
Negamax5B P6 T0.025,438,53,155,Negamax5B,6.0,0.025,,19256,2803.1715607643127,208
Negamax5B P6 T0.1,443,50,153,Negamax5B,6.0,0.1,,19278,2768.0407285690308,208
Negamax5B P6 T0.25,427,54,165,Negamax5B,6.0,0.25,,19381,2573.915339946747,208
Negamax5B P8 T0.01,445,79,122,Negamax5B,8.0,0.01,,19294,3732.9238073825836,208
Negamax5B P8 T0.025,450,67,129,Negamax5B,8.0,0.025,,19186,3152.4925532341003,208
Negamax5B P8 T0.1,445,72,129,Negamax5B,8.0,0.1,,19502,2971.761265039444,208
Negamax5B P8 T0.25,443,72,131,Negamax5B,8.0,0.25,,19408,3081.352132320404,208
Negamax5B P10 T0.01,443,30,175,Negamax5B,10.0,0.01,,19764,5561.960639953613,209
Negamax5B P10 T0.025,447,31,170,Negamax5B,10.0,0.025,,19876,5427.06090426445,209
Negamax5B P10 T0.1,442,28,178,Negamax5B,10.0,0.1,,19734,5784.438551664352,209
Negamax5B P10 T0.25,447,28,173,Negamax5B,10.0,0.25,,19892,5817.324444532394,209
Negamax5B P12 T0.01,470,41,135,Negamax5B,12.0,0.01,,19448,20553.54612350464,208
Negamax5B P12 T0.025,459,40,147,Negamax5B,12.0,0.025,,19646,19875.65095639229,208
Negamax5B P12 T0.1,468,43,135,Negamax5B,12.0,0.1,,19670,19722.935942411423,208
Negamax5B P12 T0.25,473,37,136,Negamax5B,12.0,0.25,,19594,20654.308296203613,208
Default Bot,107,541,2,DefaultBot,,,,7928,2138.913384437561,210
Random Bot,35,614,1,RandomBot,,,,9453,2214.944345474243,210
Neural Bot winner.pkl,70,580,0,NeuralBot,,,,8199,1865.3425619602203,210
Neural Bot winner_gen700.pkl,54,596,0,NeuralBot,,,700.0,8093,1434.4142010211945,210
Neural Bot winner_1gen1000.pkl,85,565,0,NeuralBot,,,1000.0,7618,1713.4843306541443,210
Neural Bot winner_gen200.pkl,92,558,0,NeuralBot,,,200.0,8421,1666.8488371372223,210
Neural Bot winner_gen1000.pkl,111,539,0,NeuralBot,,,1000.0,9388,6920.367304325104,210
Neural Bot winner_1gen1500.pkl,139,511,0,NeuralBot,,,1500.0,9182,4454.607815742493,210
Neural Bot winner_gen100.pkl,63,587,0,NeuralBot,,,100.0,9382,2065.906418323517,210
Neural Bot winner_1gen400.pkl,55,595,0,NeuralBot,,,400.0,7786,3953.0597989559174,210
Neural Bot winner_1gen50.pkl,45,603,2,NeuralBot,,,50.0,7928,2010.1703641414642,210
Neural Bot genomes/winner2_gen1200.pkl,136,460,54,NeuralBot,,,2.0,12995,2142.8690135478973,210
Neural Bot genomes/winner3_gen1000.pkl,115,535,0,NeuralBot,,,3.0,11532,1795.4591994285583,210
Neural Bot genomes/winner4_gen300.pkl,97,553,0,NeuralBot,,,4.0,10192,2044.6640627384186,210
Neural Bot genomes/winner_gen100.pkl,65,585,0,NeuralBot,,,,9600,2449.034121274948,210
Neural Bot genomes/winner5_gen300.pkl,98,549,3,NeuralBot,,,5.0,10741,1948.2391436100006,210
Neural Bot genomes/winner.pkl,85,565,0,NeuralBot,,,,10396,2036.481219291687,210
Neural Bot genomes/winner6_gen200.pkl,90,558,0,NeuralBot,,,6.0,9860,2440.5118985176086,209
Neural Bot genomes/winner7_gen900.pkl,91,554,5,NeuralBot,,,7.0,10417,1788.8326542377472,210
Neural Bot genomes/winne7.pkl,87,558,5,NeuralBot,,,7.0,10584,2018.8536796569824,210
Neural Bot genomes/winner8_gen300.pkl,92,558,0,NeuralBot,,,8.0,10301,1854.4908459186554,210
Neural Bot genomes/winner8.pkl,93,557,0,NeuralBot,,,8.0,10108,1737.5598540306091,210
Neural Bot genomes/winner9_gen800.pkl,105,544,1,NeuralBot,,,9.0,10934,1794.7949917316437,210
Neural Bot genomes/winner3_gen800.pkl,108,542,0,NeuralBot,,,3.0,9833,1880.429777622223,210
Neural Bot genomes/checkpoint_gen200.pkl,55,595,0,NeuralBot,,,,8852,2558.4751210212708,210
Neural Bot genomes/checkpoint_gen100.pkl,82,568,0,NeuralBot,,,,8565,1757.5511481761932,210
o3-mini-high-search I3000,63,355,2,o3-mini-high-search,,,,8445,2829.9204852581024,210
claude3.7-sonnet-thinking P6,334,67,17,claude3.7-sonnet-thinking,6.0,,,11044,3062.959440469742,209
o1 P4,191,205,24,o1,4.0,,,10001,1893.2113761901855,210
claude3.7-sonnet P6,305,111,4,claude3.7-sonnet,6.0,,,9599,3089.7011036872864,210
gemini-flash-2.0-thinking P2,197,185,34,gemini-flash-2.0-thinking,2.0,,,8995,1791.6573567390442,208
gpt4o P12 T0.01,126,270,20,gpt4o,12.0,0.01,,9005,7340.720418691635,208
gpt4o P4 T0.25,318,40,58,gpt4o,4.0,0.25,,11312,2946.8926994800568,208
o1 P2,188,183,45,o1,2.0,,,9018,1882.8838460445404,208
QwQ P1,150,235,29,QwQ,1.0,,,8536,1473.7193820476532,207
gpt4o P10 T0.025,269,77,70,gpt4o,10.0,0.025,,11679,3075.3169178962708,208
gemini-flash-2.0 P2,245,155,20,gemini-flash-2.0,2.0,,,10272,1597.1842865943909,210
gpt4o P1,121,297,2,gpt4o,1.0,,,6868,1324.19926071167,210
claude3.7-sonnet-thinking P2,275,99,42,claude3.7-sonnet-thinking,2.0,,,10521,1932.078544139862,208
gemini-pro-2.0 P2,254,145,21,gemini-pro-2.0,2.0,,,10162,1733.680489063263,210
o3-mini-high-search I7000,69,348,3,o3-mini-high-search,,,,8515,2929.9893605709076,210
gemini-flash-2.0 P1,0,412,8,gemini-flash-2.0,1.0,,,5628,1011.5176336765289,210
o3-mini-high-search I4000,57,361,2,o3-mini-high-search,,,,8479,3030.4504792690277,210
gpt4o P8,277,78,61,gpt4o,8.0,,,11678,1863.8027398586273,208
QwQ P4,359,50,9,QwQ,4.0,,,10935,2017.2499482631683,209
LeChat P10,225,157,36,LeChat,10.0,,,10808,5352.034942626953,209
r1 T0.1,82,316,22,r1,,0.1,,7865,5163.834643363953,210
r1 T1,86,313,21,r1,,1.0,,7909,5116.798604488373,210
o3-mini-high P2,312,86,22,o3-mini-high,2.0,,,10499,1835.2465560436249,210
gpt4o P10 T0.01,225,145,50,gpt4o,10.0,0.01,,10706,2738.4945933818817,210
o1 P1,83,313,20,o1,1.0,,,10308,1690.8478419780731,208
gemini-flash-2.0-thinking P4,259,122,39,gemini-flash-2.0-thinking,4.0,,,10867,1853.1376149654388,210
QwQ P6,392,22,4,QwQ,6.0,,,10203,4750.586967945099,209
gpt4o P4 T0.01,284,60,72,gpt4o,4.0,0.01,,11483,1567.7691857814789,208
LeChat P8,222,159,37,LeChat,8.0,,,11181,2976.4881167411804,209
LeChat P4,193,204,23,LeChat,4.0,,,10688,1662.6174855232239,210
o3-mini-high-search I5000,57,362,1,o3-mini-high-search,,,,8265,3063.7769458293915,210
gpt4o P8 T0.025,270,69,77,gpt4o,8.0,0.025,,11798,1840.2018613815308,208
gpt4o P6 T0.01,287,49,78,gpt4o,6.0,0.01,,11839,1599.042597770691,207
gpt4o P12,144,256,16,gpt4o,12.0,,,9185,7598.073266506195,208
gpt4o P6,292,48,76,gpt4o,6.0,,,11849,1720.4891967773438,208
LeChat P2,154,243,23,LeChat,2.0,,,9655,1687.3701026439667,210
claude3.7-sonnet-thinking P8,352,25,41,claude3.7-sonnet-thinking,8.0,,,10246,4623.491896390915,209
gemini-pro-2.0 P1,135,280,5,gemini-pro-2.0,1.0,,,5800,1436.6235747337341,210
r1 T0.25,87,309,24,r1,,0.25,,7816,5166.103074789047,210
same.dev P2,153,145,6,same.dev,2.0,,,6215,743.0993783473969,152
gemini-flash-2.0-thinking P1,39,378,3,gemini-flash-2.0-thinking,1.0,,,8541,1566.0833332538605,210
gpt4o P4 T0.025,300,48,66,gpt4o,4.0,0.025,,11425,1708.3949818611145,207
gpt4o P6 T0.1,304,57,55,gpt4o,6.0,0.1,,11507,2148.3101785182953,208
