Bot,wins,losses,draws,type,depth,time_limit,neural_gen,total_moves,total_time,matches_played
gpt4o P8 T0.25,308,42,66,gpt4o,8.0,0.25,,11598,3088.1555092334747,208
same.dev P6,264,115,39,same.dev,6.0,,,10568,1712.6838450431824,209
gemini-pro-2.0 P6,284,90,44,gemini-pro-2.0,6.0,,,10456,2630.919997692108,209
gpt4o P4,273,73,68,gpt4o,4.0,,,11508,1638.7908582687378,207
LeChat P1,144,254,22,LeChat,1.0,,,10073,1604.4981660842896,210
gpt4o P8 T0.1,292,55,67,gpt4o,8.0,0.1,,11803,2311.4330036640167,207
LeChat P6,193,187,40,LeChat,6.0,,,11303,2177.7191824913025,210
o3-mini-high-search I1000,60,350,10,o3-mini-high-search,,,,8446,3173.821382522583,210
r1 T0.025,87,310,23,r1,,0.025,,7905,5163.51885175705,210
o1 P6,205,181,34,o1,6.0,,,10461,2761.1370751857758,210
claude3.7-sonnet-thinking P4,287,64,69,claude3.7-sonnet-thinking,4.0,,,11005,1938.8292870521545,210
claude3.7-sonnet-thinking P1,216,144,56,claude3.7-sonnet-thinking,1.0,,,10440,1523.341894865036,208
gpt4o P12 T0.1,260,105,51,gpt4o,12.0,0.1,,11031,9922.409740924835,208
claude3.7-sonnet P8,294,121,5,claude3.7-sonnet,8.0,,,9460,3101.760905981064,210
gemini-pro-2.0 P8,369,36,15,gemini-pro-2.0,8.0,,,9562,6028.556706666946,210
gpt4o P8 T0.01,273,72,71,gpt4o,8.0,0.01,,11748,1860.571410894394,208
gpt4o P4 T0.1,315,53,48,gpt4o,4.0,0.1,,11509,2150.7704384326935,208
Gemma3 P2,81,337,2,Gemma3,2.0,,,8469,1868.3323307037354,210
gpt4o P10 T0.1,274,72,70,gpt4o,10.0,0.1,,11735,3254.3765349388123,208
gemini-flash-2.0 P6,135,240,41,gemini-flash-2.0,6.0,,,9694,2061.3740344047546,208
gpt4o P12 T0.025,173,223,20,gpt4o,12.0,0.025,,9363,7474.903854846954,208
gpt4o P6 T0.025,297,46,73,gpt4o,6.0,0.025,,11680,1669.0145936012268,208
Gemma3 P1,88,331,1,Gemma3,1.0,,,9032,1900.6905250549316,210
Gemma3 P4,102,315,3,Gemma3,4.0,,,8418,2168.3463940620422,210
gpt4o P12 T0.25,258,107,51,gpt4o,12.0,0.25,,11419,10948.35534119606,208
gemini-flash-2.0-thinking P6,270,119,31,gemini-flash-2.0-thinking,6.0,,,10665,2701.534170627594,210
gemini-pro-2.0 P4,250,126,44,gemini-pro-2.0,4.0,,,10402,2081.370114326477,210
o3-mini-high P1,51,343,24,o3-mini-high,1.0,,,10217,1473.274073600769,209
gpt4o P10 T0.25,285,86,45,gpt4o,10.0,0.25,,11610,3700.6350626945496,208
gpt4o P10,262,85,69,gpt4o,10.0,,,11563,3093.5411081314087,208
claude3.7-sonnet P2,277,131,12,claude3.7-sonnet,2.0,,,9619,2962.287349462509,210
QwQ P2,305,106,7,QwQ,2.0,,,10372,1612.473613500595,209
claude3.7-sonnet P1,284,129,7,claude3.7-sonnet,1.0,,,9511,2948.7080097198486,210
o1 P8,198,199,23,o1,8.0,,,10058,8088.943554162979,210
Gemma3 P8,101,314,3,Gemma3,8.0,,,8867,4662.027388095856,209
gemini-flash-2.0 P4,174,216,30,gemini-flash-2.0,4.0,,,10232,1598.2726213932037,210
same.dev P8,225,136,55,same.dev,8.0,,,9410,3016.4839310646057,208
same.dev P1,147,135,0,same.dev,1.0,,,5534,669.7522556781769,141
gpt4o P6 T0.25,315,39,62,gpt4o,6.0,0.25,,11557,2962.390362262726,208
gemini-flash-2.0 P8,102,260,56,gemini-flash-2.0,8.0,,,9617,3578.541355609894,209
gemini-flash-2.0-thinking P8,314,86,20,gemini-flash-2.0-thinking,8.0,,,10754,5751.950744152069,210
claude3.7-sonnet P4,283,134,3,claude3.7-sonnet,4.0,,,9521,3133.8043518066406,210
gpt4o P2,222,172,24,gpt4o,2.0,,,9132,1357.2360548973083,209
claude3.7-sonnet P12,284,134,2,claude3.7-sonnet,12.0,,,9448,3193.5011146068573,210
same.dev P4,230,125,9,same.dev,4.0,,,8203,1209.5216176509857,182
o3-mini-high-search I2000,55,361,4,o3-mini-high-search,,,,8471,2876.94344162941,210
claude3.7-sonnet P10,294,122,4,claude3.7-sonnet,10.0,,,9430,3009.915657043457,210
r1 T0.01,86,313,21,r1,,0.01,,7954,5199.5614798069,210
o3-mini-high-search I6000,63,354,3,o3-mini-high-search,,,,8463,3075.71630358696,210
o3-mini-high P6,359,49,12,o3-mini-high,6.0,,,10246,2850.63849234581,210
Gemma3 P6,104,310,6,Gemma3,6.0,,,8487,2624.6024305820465,210
o3-mini-high P4,306,99,15,o3-mini-high,4.0,,,10545,1787.9905378818512,210
